positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
0,15,15,0.00000
0,21,21,0.00000
0,28,28,0.00000
0,36,36,0.00000
1,45,45,0.01639
2,55,55,0.03279
2,66,66,0.03279
2,79,79,0.03279
2,94,94,0.03279
3,111,111,0.04918
3,130,130,0.04918
6,151,151,0.09836
10,175,175,0.16393
18,202,202,0.29508
24,232,232,0.39344
30,265,262,0.49180
38,302,292,0.62295
42,343,322,0.68852
43,389,352,0.70492
45,440,382,0.73770
46,497,412,0.75410
47,560,442,0.77049
50,630,472,0.81967
52,707,502,0.85246
53,792,532,0.86885
54,886,562,0.88525
55,990,592,0.90164
56,1105,622,0.91803
57,1232,652,0.93443
58,1372,682,0.95082
58,1526,712,0.95082
59,1696,742,0.96721
59,1883,772,0.96721
60,2089,802,0.98361
60,2316,832,0.98361
60,2566,862,0.98361
60,2841,892,0.98361
61,3144,922,1.00000
61,3478,952,1.00000
61,3846,982,1.00000
61,4251,1012,1.00000
61,4697,1042,1.00000
61,5188,1072,1.00000
61,5729,1102,1.00000
61,6325,1132,1.00000
61,6981,1162,1.00000
61,7703,1192,1.00000
61,8498,1222,1.00000
61,9373,1252,1.00000
61,10336,1282,1.00000
61,11396,1312,1.00000
61,12562,1342,1.00000
61,13845,1372,1.00000
61,15257,1402,1.00000
61,16811,1432,1.00000
61,18521,1462,1.00000
61,20402,1492,1.00000
61,22472,1522,1.00000
61,24749,1552,1.00000
61,27254,1582,1.00000
61,30010,1612,1.00000
61,33042,1642,1.00000
61,36378,1672,1.00000
61,40048,1702,1.00000
61,44085,1732,1.00000
61,48526,1762,1.00000
61,53412,1792,1.00000
61,58787,1822,1.00000
61,64700,1852,1.00000
61,71205,1882,1.00000
61,78361,1912,1.00000
61,86233,1942,1.00000
61,94893,1972,1.00000
61,104419,2002,1.00000
61,114898,2032,1.00000
61,126425,2062,1.00000
