positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
0,15,15,0.00000
0,21,21,0.00000
0,28,28,0.00000
0,36,36,0.00000
1,45,45,0.01562
2,55,55,0.03125
2,66,66,0.03125
2,79,79,0.03125
2,94,94,0.03125
2,111,111,0.03125
3,130,130,0.04688
3,151,151,0.04688
6,175,175,0.09375
9,202,202,0.14062
17,232,232,0.26562
24,265,262,0.37500
28,302,292,0.43750
35,343,322,0.54688
38,389,352,0.59375
45,440,382,0.70312
50,497,412,0.78125
51,560,442,0.79688
53,630,472,0.82812
54,707,502,0.84375
55,792,532,0.85938
56,886,562,0.87500
56,990,592,0.87500
56,1105,622,0.87500
57,1232,652,0.89062
59,1372,682,0.92188
62,1526,712,0.96875
62,1696,742,0.96875
63,1883,772,0.98438
63,2089,802,0.98438
64,2316,832,1.00000
64,2566,862,1.00000
64,2841,892,1.00000
64,3144,922,1.00000
64,3478,952,1.00000
64,3846,982,1.00000
64,4251,1012,1.00000
64,4697,1042,1.00000
64,5188,1072,1.00000
64,5729,1102,1.00000
64,6325,1132,1.00000
64,6981,1162,1.00000
64,7703,1192,1.00000
64,8498,1222,1.00000
64,9373,1252,1.00000
64,10336,1282,1.00000
64,11396,1312,1.00000
64,12562,1342,1.00000
64,13845,1372,1.00000
64,15257,1402,1.00000
64,16811,1432,1.00000
64,18521,1462,1.00000
64,20402,1492,1.00000
64,22472,1522,1.00000
64,24749,1552,1.00000
64,27254,1582,1.00000
64,30010,1612,1.00000
64,33042,1642,1.00000
64,36378,1672,1.00000
64,40048,1702,1.00000
64,44085,1732,1.00000
64,48526,1762,1.00000
64,53412,1792,1.00000
64,58787,1822,1.00000
64,64700,1852,1.00000
64,71205,1882,1.00000
64,78361,1912,1.00000
64,86233,1942,1.00000
64,94893,1972,1.00000
64,104419,2002,1.00000
64,114898,2032,1.00000
64,126425,2062,1.00000
