positives,all_docs,limited_docs,recall
0,1,1,0.00000
2,3,3,0.00769
3,6,6,0.01154
3,10,10,0.01154
6,15,15,0.02308
6,21,21,0.02308
7,28,28,0.02692
9,36,36,0.03462
12,45,45,0.04615
16,55,55,0.06154
16,66,66,0.06154
20,79,79,0.07692
21,94,94,0.08077
30,111,111,0.11538
36,130,130,0.13846
45,151,151,0.17308
58,175,175,0.22308
72,202,202,0.27692
90,232,232,0.34615
107,265,262,0.41154
118,302,292,0.45385
130,343,322,0.50000
138,389,352,0.53077
147,440,382,0.56538
161,497,412,0.61923
168,560,442,0.64615
175,630,472,0.67308
183,707,502,0.70385
191,792,532,0.73462
202,886,562,0.77692
210,990,592,0.80769
219,1105,622,0.84231
228,1232,652,0.87692
231,1372,682,0.88846
237,1526,712,0.91154
241,1696,742,0.92692
242,1883,772,0.93077
244,2089,802,0.93846
246,2316,832,0.94615
248,2566,862,0.95385
250,2841,892,0.96154
253,3144,922,0.97308
256,3478,952,0.98462
256,3846,982,0.98462
256,4251,1012,0.98462
257,4697,1042,0.98846
257,5188,1072,0.98846
258,5729,1102,0.99231
258,6325,1132,0.99231
259,6981,1162,0.99615
259,7703,1192,0.99615
260,8498,1222,1.00000
260,9373,1252,1.00000
260,10336,1282,1.00000
260,11396,1312,1.00000
260,12562,1342,1.00000
260,13845,1372,1.00000
260,15257,1402,1.00000
260,16811,1432,1.00000
260,18521,1462,1.00000
260,20402,1492,1.00000
260,22472,1522,1.00000
260,24749,1552,1.00000
260,27254,1582,1.00000
260,30010,1612,1.00000
260,33042,1642,1.00000
260,36378,1672,1.00000
260,40048,1702,1.00000
260,44085,1732,1.00000
260,48526,1762,1.00000
260,53412,1792,1.00000
260,58787,1822,1.00000
260,64700,1852,1.00000
260,71205,1882,1.00000
260,78361,1912,1.00000
260,86233,1942,1.00000
260,94893,1972,1.00000
260,104419,2002,1.00000
260,114898,2032,1.00000
260,126425,2062,1.00000
