all_docs,limited_docs,positives_mean,positives_stdev,recall_mean,recall_stdev
1,1,0.00000,0.00000,0.00000,0.00000
3,3,1.80000,0.63246,0.00764,0.00277
6,6,2.90000,0.73786,0.01233,0.00362
10,10,2.90000,0.73786,0.01233,0.00362
15,15,4.80000,1.22927,0.02039,0.00575
21,21,5.20000,1.03280,0.02207,0.00488
28,28,6.20000,1.31656,0.02629,0.00602
36,36,7.90000,1.19722,0.03349,0.00587
45,45,8.90000,1.52388,0.03755,0.00570
55,55,10.40000,2.31900,0.04385,0.00878
66,66,11.90000,2.60128,0.05007,0.00913
79,79,14.30000,3.77271,0.06002,0.01344
94,94,17.80000,5.13809,0.07476,0.01885
111,111,23.00000,6.42910,0.09620,0.02180
130,130,29.80000,9.24722,0.12450,0.03241
151,151,37.30000,10.99545,0.15555,0.03809
175,175,47.20000,14.44376,0.19657,0.05194
202,202,58.70000,16.81302,0.24438,0.06008
232,232,72.30000,19.51666,0.30126,0.06979
265,262,87.30000,20.96585,0.36432,0.07153
302,292,101.30000,20.41813,0.42376,0.06449
343,322,113.50000,19.85083,0.47545,0.05778
389,352,124.80000,19.32644,0.52360,0.05560
440,382,135.60000,18.60227,0.56971,0.05128
497,412,146.30000,18.95638,0.61492,0.04841
560,442,156.20000,20.21441,0.65651,0.05158
630,472,164.00000,18.66667,0.69000,0.04138
707,502,171.50000,18.58464,0.72190,0.04058
792,532,179.30000,17.73289,0.75521,0.03355
886,562,187.70000,18.25772,0.79073,0.03369
990,592,194.60000,17.51317,0.82035,0.03331
1105,622,200.30000,16.48602,0.84474,0.02648
1232,652,205.70000,16.43878,0.86762,0.02464
1372,682,210.20000,17.59293,0.88642,0.02821
1526,712,215.00000,17.58787,0.90676,0.02776
1696,742,218.90000,16.99314,0.92332,0.02170
1883,772,221.00000,16.93123,0.93214,0.01735
2089,802,223.40000,17.05677,0.94229,0.01807
2316,832,225.90000,17.11043,0.95281,0.01531
2566,862,227.40000,17.78389,0.95900,0.01833
2841,892,230.00000,17.23691,0.97013,0.01421
3144,922,231.30000,17.52490,0.97551,0.01112
3478,952,233.00000,17.67610,0.98264,0.00526
3846,982,233.80000,17.04765,0.98623,0.00624
4251,1012,234.40000,16.72124,0.98888,0.00582
4697,1042,234.70000,16.97744,0.99008,0.00598
5188,1072,234.80000,16.99542,0.99050,0.00655
5729,1102,235.50000,17.23852,0.99338,0.00505
6325,1132,235.90000,17.01274,0.99515,0.00562
6981,1162,236.20000,17.24207,0.99635,0.00400
7703,1192,236.30000,17.24368,0.99677,0.00365
8498,1222,236.50000,17.39891,0.99757,0.00385
9373,1252,236.50000,17.39891,0.99757,0.00385
10336,1282,236.50000,17.39891,0.99757,0.00385
11396,1312,236.60000,17.36024,0.99801,0.00385
12562,1342,236.60000,17.36024,0.99801,0.00385
13845,1372,236.60000,17.36024,0.99801,0.00385
15257,1402,236.60000,17.36024,0.99801,0.00385
16811,1432,236.60000,17.36024,0.99801,0.00385
18521,1462,236.60000,17.36024,0.99801,0.00385
20402,1492,236.60000,17.36024,0.99801,0.00385
22472,1522,236.60000,17.36024,0.99801,0.00385
24749,1552,236.60000,17.36024,0.99801,0.00385
27254,1582,236.60000,17.36024,0.99801,0.00385
30010,1612,236.60000,17.36024,0.99801,0.00385
33042,1642,236.70000,17.44865,0.99840,0.00278
36378,1672,236.70000,17.44865,0.99840,0.00278
40048,1702,236.70000,17.44865,0.99840,0.00278
44085,1732,236.70000,17.44865,0.99840,0.00278
48526,1762,236.90000,17.64118,0.99919,0.00170
53412,1792,237.00000,17.73258,0.99959,0.00130
58787,1822,237.00000,17.73258,0.99959,0.00130
64700,1852,237.00000,17.73258,0.99959,0.00130
71205,1882,237.00000,17.73258,0.99959,0.00130
78361,1912,237.00000,17.73258,0.99959,0.00130
86233,1942,237.00000,17.73258,0.99959,0.00130
94893,1972,237.00000,17.73258,0.99959,0.00130
104419,2002,237.00000,17.73258,0.99959,0.00130
114898,2032,237.10000,17.77295,1.00000,0.00000
126425,2062,237.10000,17.77295,1.00000,0.00000
