positives,all_docs,limited_docs,recall
0,1,1,0.00000
2,3,3,0.00840
3,6,6,0.01261
3,10,10,0.01261
3,15,15,0.01261
3,21,21,0.01261
3,28,28,0.01261
6,36,36,0.02521
7,45,45,0.02941
9,55,55,0.03782
9,66,66,0.03782
10,79,79,0.04202
15,94,94,0.06303
21,111,111,0.08824
23,130,130,0.09664
30,151,151,0.12605
40,175,175,0.16807
55,202,202,0.23109
68,232,232,0.28571
87,265,262,0.36555
99,302,292,0.41597
113,343,322,0.47479
123,389,352,0.51681
139,440,382,0.58403
149,497,412,0.62605
161,560,442,0.67647
168,630,472,0.70588
179,707,502,0.75210
185,792,532,0.77731
196,886,562,0.82353
203,990,592,0.85294
206,1105,622,0.86555
209,1232,652,0.87815
213,1372,682,0.89496
222,1526,712,0.93277
227,1696,742,0.95378
228,1883,772,0.95798
231,2089,802,0.97059
231,2316,832,0.97059
235,2566,862,0.98739
235,2841,892,0.98739
235,3144,922,0.98739
235,3478,952,0.98739
235,3846,982,0.98739
236,4251,1012,0.99160
237,4697,1042,0.99580
238,5188,1072,1.00000
238,5729,1102,1.00000
238,6325,1132,1.00000
238,6981,1162,1.00000
238,7703,1192,1.00000
238,8498,1222,1.00000
238,9373,1252,1.00000
238,10336,1282,1.00000
238,11396,1312,1.00000
238,12562,1342,1.00000
238,13845,1372,1.00000
238,15257,1402,1.00000
238,16811,1432,1.00000
238,18521,1462,1.00000
238,20402,1492,1.00000
238,22472,1522,1.00000
238,24749,1552,1.00000
238,27254,1582,1.00000
238,30010,1612,1.00000
238,33042,1642,1.00000
238,36378,1672,1.00000
238,40048,1702,1.00000
238,44085,1732,1.00000
238,48526,1762,1.00000
238,53412,1792,1.00000
238,58787,1822,1.00000
238,64700,1852,1.00000
238,71205,1882,1.00000
238,78361,1912,1.00000
238,86233,1942,1.00000
238,94893,1972,1.00000
238,104419,2002,1.00000
238,114898,2032,1.00000
238,126425,2062,1.00000
