positives,all_docs,limited_docs,recall
0,1,1,0.00000
2,3,3,0.00866
2,6,6,0.00866
2,10,10,0.00866
3,15,15,0.01299
5,21,21,0.02165
5,28,28,0.02165
6,36,36,0.02597
7,45,45,0.03030
10,55,55,0.04329
12,66,66,0.05195
15,79,79,0.06494
19,94,94,0.08225
21,111,111,0.09091
29,130,130,0.12554
32,151,151,0.13853
42,175,175,0.18182
53,202,202,0.22944
71,232,232,0.30736
86,265,262,0.37229
97,302,292,0.41991
112,343,322,0.48485
125,389,352,0.54113
138,440,382,0.59740
148,497,412,0.64069
158,560,442,0.68398
167,630,472,0.72294
175,707,502,0.75758
178,792,532,0.77056
183,886,562,0.79221
186,990,592,0.80519
192,1105,622,0.83117
199,1232,652,0.86147
202,1372,682,0.87446
207,1526,712,0.89610
210,1696,742,0.90909
211,1883,772,0.91342
213,2089,802,0.92208
220,2316,832,0.95238
221,2566,862,0.95671
225,2841,892,0.97403
226,3144,922,0.97835
227,3478,952,0.98268
228,3846,982,0.98701
228,4251,1012,0.98701
228,4697,1042,0.98701
228,5188,1072,0.98701
229,5729,1102,0.99134
230,6325,1132,0.99567
230,6981,1162,0.99567
230,7703,1192,0.99567
230,8498,1222,0.99567
230,9373,1252,0.99567
230,10336,1282,0.99567
231,11396,1312,1.00000
231,12562,1342,1.00000
231,13845,1372,1.00000
231,15257,1402,1.00000
231,16811,1432,1.00000
231,18521,1462,1.00000
231,20402,1492,1.00000
231,22472,1522,1.00000
231,24749,1552,1.00000
231,27254,1582,1.00000
231,30010,1612,1.00000
231,33042,1642,1.00000
231,36378,1672,1.00000
231,40048,1702,1.00000
231,44085,1732,1.00000
231,48526,1762,1.00000
231,53412,1792,1.00000
231,58787,1822,1.00000
231,64700,1852,1.00000
231,71205,1882,1.00000
231,78361,1912,1.00000
231,86233,1942,1.00000
231,94893,1972,1.00000
231,104419,2002,1.00000
231,114898,2032,1.00000
231,126425,2062,1.00000
