positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
1,6,6,0.00599
2,10,10,0.01198
4,15,15,0.02395
6,21,21,0.03593
9,28,28,0.05389
13,36,36,0.07784
19,45,45,0.11377
25,55,55,0.14970
33,66,66,0.19760
39,79,79,0.23353
44,94,94,0.26347
54,111,111,0.32335
61,130,130,0.36527
74,151,151,0.44311
87,175,175,0.52096
100,202,202,0.59880
111,232,232,0.66467
123,265,262,0.73653
134,302,292,0.80240
140,343,322,0.83832
141,389,352,0.84431
146,440,382,0.87425
151,497,412,0.90419
156,560,442,0.93413
159,630,472,0.95210
161,707,502,0.96407
161,792,532,0.96407
162,886,562,0.97006
163,990,592,0.97605
165,1105,622,0.98802
165,1232,652,0.98802
166,1372,682,0.99401
167,1526,712,1.00000
167,1696,742,1.00000
167,1883,772,1.00000
167,2089,802,1.00000
167,2316,832,1.00000
167,2566,862,1.00000
167,2841,892,1.00000
167,3144,922,1.00000
167,3478,952,1.00000
167,3846,982,1.00000
167,4251,1012,1.00000
167,4697,1042,1.00000
167,5188,1072,1.00000
167,5729,1102,1.00000
167,6325,1132,1.00000
167,6981,1162,1.00000
167,7703,1192,1.00000
167,8498,1222,1.00000
167,9373,1252,1.00000
167,10336,1282,1.00000
167,11396,1312,1.00000
167,12562,1342,1.00000
167,13845,1372,1.00000
167,15257,1402,1.00000
167,16811,1432,1.00000
167,18521,1462,1.00000
167,20402,1492,1.00000
167,22472,1522,1.00000
167,24749,1552,1.00000
167,27254,1582,1.00000
167,30010,1612,1.00000
167,33042,1642,1.00000
167,36378,1672,1.00000
167,40048,1702,1.00000
167,44085,1732,1.00000
167,48526,1762,1.00000
167,53412,1792,1.00000
167,58787,1822,1.00000
167,64700,1852,1.00000
167,71205,1882,1.00000
167,78361,1912,1.00000
167,86233,1942,1.00000
167,94893,1972,1.00000
167,104419,2002,1.00000
167,114898,2032,1.00000
167,126425,2062,1.00000
