all_docs,limited_docs,positives_mean,positives_stdev,recall_mean,recall_stdev
1,1,0.00000,0.00000,0.00000,0.00000
3,3,0.40000,0.51640,0.00247,0.00319
6,6,1.20000,0.63246,0.00728,0.00382
10,10,3.00000,0.94281,0.01830,0.00574
15,15,5.10000,1.37032,0.03107,0.00827
21,21,7.90000,1.66333,0.04824,0.01034
28,28,11.70000,1.63639,0.07151,0.01107
36,36,15.50000,2.79881,0.09472,0.01823
45,45,20.50000,2.54951,0.12517,0.01673
55,55,26.30000,2.90784,0.16046,0.01818
66,66,31.90000,3.81372,0.19435,0.02118
79,79,38.50000,3.68932,0.23457,0.01930
94,94,45.40000,4.14193,0.27681,0.02400
111,111,53.80000,3.88158,0.32797,0.02017
130,130,63.00000,3.36650,0.38423,0.01817
151,151,71.20000,2.93636,0.43443,0.02026
175,175,81.70000,2.86938,0.49858,0.02253
202,202,94.00000,3.49603,0.57356,0.02491
232,232,106.00000,2.90593,0.64681,0.02359
265,262,117.50000,4.17000,0.71658,0.01777
302,292,126.20000,5.18116,0.76949,0.01864
343,322,135.40000,4.55095,0.82565,0.01183
389,352,140.80000,4.49197,0.85871,0.01802
440,382,146.40000,5.16828,0.89275,0.01776
497,412,152.40000,4.42719,0.92960,0.02352
560,442,155.40000,4.24788,0.94779,0.01605
630,472,157.80000,4.10420,0.96240,0.01148
707,502,159.40000,4.67143,0.97204,0.00733
792,532,160.90000,4.79467,0.98120,0.00985
886,562,161.50000,5.21217,0.98477,0.00762
990,592,162.10000,4.90918,0.98848,0.00584
1105,622,162.80000,4.75628,0.99277,0.00541
1232,652,163.10000,5.15213,0.99453,0.00527
1372,682,163.40000,5.35828,0.99632,0.00433
1526,712,163.70000,5.49848,0.99813,0.00302
1696,742,163.70000,5.49848,0.99813,0.00302
1883,772,163.70000,5.49848,0.99813,0.00302
2089,802,163.80000,5.45283,0.99874,0.00265
2316,832,163.80000,5.45283,0.99874,0.00265
2566,862,163.80000,5.45283,0.99874,0.00265
2841,892,163.80000,5.45283,0.99874,0.00265
3144,922,163.90000,5.36346,0.99937,0.00200
3478,952,163.90000,5.36346,0.99937,0.00200
3846,982,164.00000,5.22813,1.00000,0.00000
4251,1012,164.00000,5.22813,1.00000,0.00000
4697,1042,164.00000,5.22813,1.00000,0.00000
5188,1072,164.00000,5.22813,1.00000,0.00000
5729,1102,164.00000,5.22813,1.00000,0.00000
6325,1132,164.00000,5.22813,1.00000,0.00000
6981,1162,164.00000,5.22813,1.00000,0.00000
7703,1192,164.00000,5.22813,1.00000,0.00000
8498,1222,164.00000,5.22813,1.00000,0.00000
9373,1252,164.00000,5.22813,1.00000,0.00000
10336,1282,164.00000,5.22813,1.00000,0.00000
11396,1312,164.00000,5.22813,1.00000,0.00000
12562,1342,164.00000,5.22813,1.00000,0.00000
13845,1372,164.00000,5.22813,1.00000,0.00000
15257,1402,164.00000,5.22813,1.00000,0.00000
16811,1432,164.00000,5.22813,1.00000,0.00000
18521,1462,164.00000,5.22813,1.00000,0.00000
20402,1492,164.00000,5.22813,1.00000,0.00000
22472,1522,164.00000,5.22813,1.00000,0.00000
24749,1552,164.00000,5.22813,1.00000,0.00000
27254,1582,164.00000,5.22813,1.00000,0.00000
30010,1612,164.00000,5.22813,1.00000,0.00000
33042,1642,164.00000,5.22813,1.00000,0.00000
36378,1672,164.00000,5.22813,1.00000,0.00000
40048,1702,164.00000,5.22813,1.00000,0.00000
44085,1732,164.00000,5.22813,1.00000,0.00000
48526,1762,164.00000,5.22813,1.00000,0.00000
53412,1792,164.00000,5.22813,1.00000,0.00000
58787,1822,164.00000,5.22813,1.00000,0.00000
64700,1852,164.00000,5.22813,1.00000,0.00000
71205,1882,164.00000,5.22813,1.00000,0.00000
78361,1912,164.00000,5.22813,1.00000,0.00000
86233,1942,164.00000,5.22813,1.00000,0.00000
94893,1972,164.00000,5.22813,1.00000,0.00000
104419,2002,164.00000,5.22813,1.00000,0.00000
114898,2032,164.00000,5.22813,1.00000,0.00000
126425,2062,164.00000,5.22813,1.00000,0.00000
