positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
2,6,6,0.01258
4,10,10,0.02516
6,15,15,0.03774
10,21,21,0.06289
13,28,28,0.08176
19,36,36,0.11950
24,45,45,0.15094
29,55,55,0.18239
34,66,66,0.21384
41,79,79,0.25786
50,94,94,0.31447
57,111,111,0.35849
65,130,130,0.40881
75,151,151,0.47170
85,175,175,0.53459
95,202,202,0.59748
107,232,232,0.67296
116,265,262,0.72956
123,302,292,0.77358
131,343,322,0.82390
139,389,352,0.87421
143,440,382,0.89937
153,497,412,0.96226
155,560,442,0.97484
156,630,472,0.98113
156,707,502,0.98113
158,792,532,0.99371
158,886,562,0.99371
158,990,592,0.99371
159,1105,622,1.00000
159,1232,652,1.00000
159,1372,682,1.00000
159,1526,712,1.00000
159,1696,742,1.00000
159,1883,772,1.00000
159,2089,802,1.00000
159,2316,832,1.00000
159,2566,862,1.00000
159,2841,892,1.00000
159,3144,922,1.00000
159,3478,952,1.00000
159,3846,982,1.00000
159,4251,1012,1.00000
159,4697,1042,1.00000
159,5188,1072,1.00000
159,5729,1102,1.00000
159,6325,1132,1.00000
159,6981,1162,1.00000
159,7703,1192,1.00000
159,8498,1222,1.00000
159,9373,1252,1.00000
159,10336,1282,1.00000
159,11396,1312,1.00000
159,12562,1342,1.00000
159,13845,1372,1.00000
159,15257,1402,1.00000
159,16811,1432,1.00000
159,18521,1462,1.00000
159,20402,1492,1.00000
159,22472,1522,1.00000
159,24749,1552,1.00000
159,27254,1582,1.00000
159,30010,1612,1.00000
159,33042,1642,1.00000
159,36378,1672,1.00000
159,40048,1702,1.00000
159,44085,1732,1.00000
159,48526,1762,1.00000
159,53412,1792,1.00000
159,58787,1822,1.00000
159,64700,1852,1.00000
159,71205,1882,1.00000
159,78361,1912,1.00000
159,86233,1942,1.00000
159,94893,1972,1.00000
159,104419,2002,1.00000
159,114898,2032,1.00000
159,126425,2062,1.00000
