positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
2,10,10,0.01266
3,15,15,0.01899
6,21,21,0.03797
11,28,28,0.06962
12,36,36,0.07595
17,45,45,0.10759
22,55,55,0.13924
25,66,66,0.15823
31,79,79,0.19620
40,94,94,0.25316
49,111,111,0.31013
62,130,130,0.39241
71,151,151,0.44937
80,175,175,0.50633
93,202,202,0.58861
104,232,232,0.65823
114,265,262,0.72152
122,302,292,0.77215
133,343,322,0.84177
140,389,352,0.88608
146,440,382,0.92405
153,497,412,0.96835
153,560,442,0.96835
155,630,472,0.98101
155,707,502,0.98101
156,792,532,0.98734
156,886,562,0.98734
157,990,592,0.99367
157,1105,622,0.99367
157,1232,652,0.99367
157,1372,682,0.99367
157,1526,712,0.99367
157,1696,742,0.99367
157,1883,772,0.99367
157,2089,802,0.99367
157,2316,832,0.99367
157,2566,862,0.99367
157,2841,892,0.99367
157,3144,922,0.99367
157,3478,952,0.99367
158,3846,982,1.00000
158,4251,1012,1.00000
158,4697,1042,1.00000
158,5188,1072,1.00000
158,5729,1102,1.00000
158,6325,1132,1.00000
158,6981,1162,1.00000
158,7703,1192,1.00000
158,8498,1222,1.00000
158,9373,1252,1.00000
158,10336,1282,1.00000
158,11396,1312,1.00000
158,12562,1342,1.00000
158,13845,1372,1.00000
158,15257,1402,1.00000
158,16811,1432,1.00000
158,18521,1462,1.00000
158,20402,1492,1.00000
158,22472,1522,1.00000
158,24749,1552,1.00000
158,27254,1582,1.00000
158,30010,1612,1.00000
158,33042,1642,1.00000
158,36378,1672,1.00000
158,40048,1702,1.00000
158,44085,1732,1.00000
158,48526,1762,1.00000
158,53412,1792,1.00000
158,58787,1822,1.00000
158,64700,1852,1.00000
158,71205,1882,1.00000
158,78361,1912,1.00000
158,86233,1942,1.00000
158,94893,1972,1.00000
158,104419,2002,1.00000
158,114898,2032,1.00000
158,126425,2062,1.00000
