25,2,13,26,17,3,6,27,16,43,31,15,41,24,37,46,19,29,18,33,35,45,23,48,39,28,20,49,5,7,30,22,14,9,34,32,47,40,44,21,42,12,36,4,38,51,50,8,11,10
3,17,1,28,46,31,7,16,9,6,18,25,22,33,29,21,30,20,27,47,19,37,26,43,24,49,48,36,15,39,13,40,4,34,41,32,45,35,44,38,23,5,14,42,12,8,51,11,10,50
36,29,2,37,19,17,33,32,9,41,40,34,31,1,24,27,6,18,48,25,43,45,47,15,26,20,13,22,16,21,44,28,46,30,23,42,39,4,35,49,38,14,50,51,7,5,12,10,8,11
6,17,31,33,2,3,19,48,20,27,24,21,13,38,16,46,7,49,32,28,41,43,47,36,14,1,34,35,30,25,9,44,40,23,29,26,37,18,22,5,39,12,45,15,51,50,10,11,8,42
22,7,12,14,8,11,10,17,38,1,6,25,2,41,16,13,20,45,37,46,42,19,4,31,33,43,36,30,34,44,9,49,3,27,48,18,32,39,47,40,35,24,23,15,29,28,26,21,51,50
33,36,9,34,17,47,2,28,37,3,13,1,27,16,19,41,14,44,32,4,25,35,43,7,22,48,39,29,20,31,5,15,24,18,30,12,38,10,50,8,51,11,49,42,23,40,45,26,21,46
2,46,5,22,17,12,14,8,11,10,31,6,25,1,41,47,28,4,38,16,30,20,13,29,43,48,19,33,44,37,32,3,27,18,49,15,9,42,45,24,34,23,36,39,35,26,40,21,51,50
22,14,7,10,5,12,11,38,41,25,13,6,17,42,1,31,19,4,2,44,16,46,20,39,34,32,37,48,45,36,24,29,9,33,47,27,23,3,43,18,35,40,26,49,15,30,28,21,51,50
27,36,34,33,17,3,6,47,22,2,37,31,35,21,29,40,25,41,24,43,16,19,38,49,26,28,18,1,23,45,20,30,44,13,46,15,48,4,39,7,32,5,42,12,14,50,51,8,11,10
22,5,7,8,12,14,11,38,13,41,25,17,6,42,1,31,19,4,44,2,46,20,16,39,37,32,34,48,45,36,24,29,33,9,47,23,27,3,43,18,40,26,35,49,15,30,28,21,51,50
22,14,7,8,10,5,12,38,41,25,13,6,17,42,1,31,19,4,2,44,16,46,20,39,34,32,37,48,45,36,24,29,47,33,9,27,23,3,43,18,35,40,26,49,15,30,28,21,51,50
22,19,18,7,5,14,8,11,10,25,20,6,17,41,38,13,1,2,44,16,45,31,42,34,37,29,4,27,48,46,33,24,36,35,39,40,32,9,47,26,49,3,23,43,15,30,28,21,51,50
1,41,19,6,26,35,32,25,29,3,14,27,31,16,34,37,48,2,45,23,22,17,4,44,30,40,7,5,33,12,9,10,50,51,8,11,38,39,24,49,47,36,20,43,42,46,18,15,28,21
16,32,22,7,5,12,13,51,6,11,8,10,50,44,17,1,38,29,41,23,3,25,20,2,19,4,31,45,42,40,47,48,27,46,33,37,36,34,39,24,43,9,26,35,18,49,15,30,28,21
46,17,3,1,24,31,37,42,2,6,21,43,26,49,29,47,27,19,34,36,41,44,18,25,40,9,33,35,39,32,7,16,30,38,28,45,48,4,20,13,22,5,23,12,14,11,51,8,10,50
43,49,2,25,17,14,33,24,32,6,1,20,27,40,51,50,3,29,47,39,45,48,22,41,18,23,9,19,30,34,13,44,37,28,31,4,38,7,36,5,21,35,26,46,12,15,42,8,10,11
20,37,43,47,33,2,3,31,9,30,41,18,6,36,27,24,46,25,1,22,45,34,16,7,40,26,15,29,49,44,19,32,28,39,5,35,21,4,38,14,23,42,48,13,12,10,8,11,51,50
19,17,43,22,2,20,33,3,25,12,31,47,1,37,40,34,16,41,28,29,27,6,24,49,9,44,36,30,45,15,35,48,46,26,38,7,32,4,21,23,39,13,42,5,14,51,11,8,10,50
3,18,22,41,27,25,40,32,29,13,24,12,43,45,48,6,37,20,17,31,26,2,1,33,34,16,9,35,39,21,4,47,23,28,36,42,44,15,49,46,30,7,38,14,5,51,8,11,50,10
17,30,37,18,49,27,16,3,19,25,2,31,43,41,42,26,24,47,32,1,22,6,33,28,38,4,12,44,23,7,36,45,40,9,48,5,34,14,29,39,21,35,46,13,50,51,15,10,11,8
24,27,26,9,2,3,34,31,33,25,35,43,17,38,39,22,37,19,42,15,41,29,44,4,36,46,47,1,45,40,16,20,48,6,30,18,49,23,28,13,5,7,32,14,12,51,8,11,50,10
19,25,40,12,5,9,18,17,7,2,27,14,3,36,11,10,8,31,38,16,41,29,24,6,44,21,33,20,37,13,43,47,1,45,34,46,30,49,39,42,26,35,48,28,4,23,32,15,51,50
40,48,16,33,1,3,47,27,45,32,17,13,43,19,25,20,2,29,31,9,34,14,50,51,44,6,30,46,41,49,28,4,37,39,35,18,36,21,7,22,24,26,42,38,5,15,12,10,11,8
26,37,21,27,49,25,42,17,3,43,19,36,41,31,34,16,40,44,39,29,47,46,33,1,30,15,35,28,2,9,20,22,38,48,6,4,18,45,13,32,7,23,12,5,14,8,11,10,51,50
1,22,24,19,31,43,16,27,17,26,33,2,41,40,39,18,3,13,20,9,30,34,37,12,47,21,42,6,49,48,36,45,7,46,29,23,5,28,38,14,44,10,11,8,15,35,4,32,50,51
24,37,1,49,27,25,31,21,13,17,36,3,42,41,19,35,2,20,34,33,29,43,9,47,39,15,45,48,46,28,30,22,18,16,40,6,4,32,38,44,23,7,14,12,5,51,50,8,11,10
