positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
2,6,6,0.01802
3,10,10,0.02703
6,15,15,0.05405
8,21,21,0.07207
8,28,28,0.07207
8,36,36,0.07207
8,45,45,0.07207
10,55,55,0.09009
12,66,66,0.10811
16,79,79,0.14414
16,94,94,0.14414
20,111,111,0.18018
24,130,130,0.21622
29,151,151,0.26126
37,175,175,0.33333
46,202,202,0.41441
58,232,232,0.52252
68,265,262,0.61261
80,302,292,0.72072
88,343,322,0.79279
95,389,352,0.85586
98,440,382,0.88288
99,497,412,0.89189
100,560,442,0.90090
104,630,472,0.93694
105,707,502,0.94595
107,792,532,0.96396
109,886,562,0.98198
109,990,592,0.98198
109,1105,622,0.98198
110,1232,652,0.99099
110,1372,682,0.99099
110,1526,712,0.99099
110,1696,742,0.99099
111,1883,772,1.00000
111,2089,802,1.00000
111,2316,832,1.00000
111,2566,862,1.00000
111,2841,892,1.00000
111,3144,922,1.00000
111,3478,952,1.00000
111,3846,982,1.00000
111,4251,1012,1.00000
111,4697,1042,1.00000
111,5188,1072,1.00000
111,5729,1102,1.00000
111,6325,1132,1.00000
111,6981,1162,1.00000
111,7703,1192,1.00000
111,8498,1222,1.00000
111,9373,1252,1.00000
111,10336,1282,1.00000
111,11396,1312,1.00000
111,12562,1342,1.00000
111,13845,1372,1.00000
111,15257,1402,1.00000
111,16811,1432,1.00000
111,18521,1462,1.00000
111,20402,1492,1.00000
111,22472,1522,1.00000
111,24749,1552,1.00000
111,27254,1582,1.00000
111,30010,1612,1.00000
111,33042,1642,1.00000
111,36378,1672,1.00000
111,40048,1702,1.00000
111,44085,1732,1.00000
111,48526,1762,1.00000
111,53412,1792,1.00000
111,58787,1822,1.00000
111,64700,1852,1.00000
111,71205,1882,1.00000
111,78361,1912,1.00000
111,86233,1942,1.00000
111,94893,1972,1.00000
111,104419,2002,1.00000
111,114898,2032,1.00000
111,126425,2062,1.00000
