all_docs,limited_docs,positives_mean,positives_stdev,recall_mean,recall_stdev
1,1,0.00000,0.00000,0.00000,0.00000
3,3,0.30000,0.48305,0.00260,0.00419
6,6,1.50000,0.52705,0.01321,0.00472
10,10,3.10000,1.19722,0.02713,0.01044
15,15,4.70000,1.33749,0.04117,0.01155
21,21,6.80000,1.93218,0.05955,0.01664
28,28,9.20000,1.75119,0.08058,0.01394
36,36,11.20000,1.98886,0.09834,0.01706
45,45,13.10000,3.03498,0.11467,0.02440
55,55,15.40000,3.16930,0.13475,0.02460
66,66,17.80000,4.82586,0.15551,0.03803
79,79,21.80000,5.07280,0.19042,0.03824
94,94,25.20000,8.17585,0.21972,0.06440
111,111,30.40000,10.22198,0.26514,0.08216
130,130,35.60000,12.44722,0.31072,0.10157
151,151,41.30000,14.51474,0.36048,0.11943
175,175,49.00000,14.35270,0.42807,0.11619
202,202,58.10000,13.77155,0.50828,0.11028
232,232,67.80000,12.26377,0.59404,0.09794
265,262,77.50000,9.90230,0.67969,0.07632
302,292,85.10000,9.67758,0.74645,0.07253
343,322,91.50000,9.02158,0.80266,0.06466
389,352,96.00000,8.69227,0.84217,0.06016
440,382,99.30000,7.42443,0.87125,0.04537
497,412,102.30000,6.99285,0.89776,0.04252
560,442,103.90000,7.50481,0.91160,0.04396
630,472,106.30000,5.98238,0.93320,0.03691
707,502,107.00000,5.39547,0.93944,0.03194
792,532,108.70000,5.01221,0.95445,0.02884
886,562,109.90000,4.81779,0.96497,0.02499
990,592,110.90000,4.81779,0.97366,0.02019
1105,622,111.50000,4.81318,0.97886,0.01558
1232,652,111.70000,4.71522,0.98064,0.01479
1372,682,112.20000,4.68568,0.98503,0.01364
1526,712,112.60000,4.67143,0.98851,0.01019
1696,742,113.00000,4.64280,0.99203,0.00956
1883,772,113.40000,4.40202,0.99560,0.00607
2089,802,113.60000,4.47710,0.99733,0.00431
2316,832,113.80000,4.44222,0.99910,0.00285
2566,862,113.80000,4.44222,0.99910,0.00285
2841,892,113.80000,4.44222,0.99910,0.00285
3144,922,113.90000,4.35762,1.00000,0.00000
3478,952,113.90000,4.35762,1.00000,0.00000
3846,982,113.90000,4.35762,1.00000,0.00000
4251,1012,113.90000,4.35762,1.00000,0.00000
4697,1042,113.90000,4.35762,1.00000,0.00000
5188,1072,113.90000,4.35762,1.00000,0.00000
5729,1102,113.90000,4.35762,1.00000,0.00000
6325,1132,113.90000,4.35762,1.00000,0.00000
6981,1162,113.90000,4.35762,1.00000,0.00000
7703,1192,113.90000,4.35762,1.00000,0.00000
8498,1222,113.90000,4.35762,1.00000,0.00000
9373,1252,113.90000,4.35762,1.00000,0.00000
10336,1282,113.90000,4.35762,1.00000,0.00000
11396,1312,113.90000,4.35762,1.00000,0.00000
12562,1342,113.90000,4.35762,1.00000,0.00000
13845,1372,113.90000,4.35762,1.00000,0.00000
15257,1402,113.90000,4.35762,1.00000,0.00000
16811,1432,113.90000,4.35762,1.00000,0.00000
18521,1462,113.90000,4.35762,1.00000,0.00000
20402,1492,113.90000,4.35762,1.00000,0.00000
22472,1522,113.90000,4.35762,1.00000,0.00000
24749,1552,113.90000,4.35762,1.00000,0.00000
27254,1582,113.90000,4.35762,1.00000,0.00000
30010,1612,113.90000,4.35762,1.00000,0.00000
33042,1642,113.90000,4.35762,1.00000,0.00000
36378,1672,113.90000,4.35762,1.00000,0.00000
40048,1702,113.90000,4.35762,1.00000,0.00000
44085,1732,113.90000,4.35762,1.00000,0.00000
48526,1762,113.90000,4.35762,1.00000,0.00000
53412,1792,113.90000,4.35762,1.00000,0.00000
58787,1822,113.90000,4.35762,1.00000,0.00000
64700,1852,113.90000,4.35762,1.00000,0.00000
71205,1882,113.90000,4.35762,1.00000,0.00000
78361,1912,113.90000,4.35762,1.00000,0.00000
86233,1942,113.90000,4.35762,1.00000,0.00000
94893,1972,113.90000,4.35762,1.00000,0.00000
104419,2002,113.90000,4.35762,1.00000,0.00000
114898,2032,113.90000,4.35762,1.00000,0.00000
126425,2062,113.90000,4.35762,1.00000,0.00000
