positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
1,6,6,0.00562
1,10,10,0.00562
3,15,15,0.01685
5,21,21,0.02809
9,28,28,0.05056
13,36,36,0.07303
19,45,45,0.10674
26,55,55,0.14607
31,66,66,0.17416
35,79,79,0.19663
39,94,94,0.21910
51,111,111,0.28652
59,130,130,0.33146
67,151,151,0.37640
77,175,175,0.43258
89,202,202,0.50000
98,232,232,0.55056
111,265,262,0.62360
118,302,292,0.66292
126,343,322,0.70787
132,389,352,0.74157
142,440,382,0.79775
148,497,412,0.83146
155,560,442,0.87079
161,630,472,0.90449
167,707,502,0.93820
170,792,532,0.95506
173,886,562,0.97191
174,990,592,0.97753
175,1105,622,0.98315
175,1232,652,0.98315
176,1372,682,0.98876
176,1526,712,0.98876
177,1696,742,0.99438
177,1883,772,0.99438
177,2089,802,0.99438
177,2316,832,0.99438
178,2566,862,1.00000
178,2841,892,1.00000
178,3144,922,1.00000
178,3478,952,1.00000
178,3846,982,1.00000
178,4251,1012,1.00000
178,4697,1042,1.00000
178,5188,1072,1.00000
178,5729,1102,1.00000
178,6325,1132,1.00000
178,6981,1162,1.00000
178,7703,1192,1.00000
178,8498,1222,1.00000
178,9373,1252,1.00000
178,10336,1282,1.00000
178,11396,1312,1.00000
178,12562,1342,1.00000
178,13845,1372,1.00000
178,15257,1402,1.00000
178,16811,1432,1.00000
178,18521,1462,1.00000
178,20402,1492,1.00000
178,22472,1522,1.00000
178,24749,1552,1.00000
178,27254,1582,1.00000
178,30010,1612,1.00000
178,33042,1642,1.00000
178,36378,1672,1.00000
178,40048,1702,1.00000
178,44085,1732,1.00000
178,48526,1762,1.00000
178,53412,1792,1.00000
178,58787,1822,1.00000
178,64700,1852,1.00000
178,71205,1882,1.00000
178,78361,1912,1.00000
178,86233,1942,1.00000
178,94893,1972,1.00000
178,104419,2002,1.00000
178,114898,2032,1.00000
178,126425,2062,1.00000
