positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
1,6,6,0.00565
1,10,10,0.00565
4,15,15,0.02260
7,21,21,0.03955
9,28,28,0.05085
17,36,36,0.09605
22,45,45,0.12429
28,55,55,0.15819
31,66,66,0.17514
37,79,79,0.20904
43,94,94,0.24294
49,111,111,0.27684
59,130,130,0.33333
70,151,151,0.39548
83,175,175,0.46893
92,202,202,0.51977
105,232,232,0.59322
115,265,262,0.64972
125,302,292,0.70621
135,343,322,0.76271
144,389,352,0.81356
149,440,382,0.84181
155,497,412,0.87571
156,560,442,0.88136
162,630,472,0.91525
166,707,502,0.93785
171,792,532,0.96610
171,886,562,0.96610
172,990,592,0.97175
172,1105,622,0.97175
172,1232,652,0.97175
172,1372,682,0.97175
173,1526,712,0.97740
174,1696,742,0.98305
174,1883,772,0.98305
175,2089,802,0.98870
175,2316,832,0.98870
176,2566,862,0.99435
177,2841,892,1.00000
177,3144,922,1.00000
177,3478,952,1.00000
177,3846,982,1.00000
177,4251,1012,1.00000
177,4697,1042,1.00000
177,5188,1072,1.00000
177,5729,1102,1.00000
177,6325,1132,1.00000
177,6981,1162,1.00000
177,7703,1192,1.00000
177,8498,1222,1.00000
177,9373,1252,1.00000
177,10336,1282,1.00000
177,11396,1312,1.00000
177,12562,1342,1.00000
177,13845,1372,1.00000
177,15257,1402,1.00000
177,16811,1432,1.00000
177,18521,1462,1.00000
177,20402,1492,1.00000
177,22472,1522,1.00000
177,24749,1552,1.00000
177,27254,1582,1.00000
177,30010,1612,1.00000
177,33042,1642,1.00000
177,36378,1672,1.00000
177,40048,1702,1.00000
177,44085,1732,1.00000
177,48526,1762,1.00000
177,53412,1792,1.00000
177,58787,1822,1.00000
177,64700,1852,1.00000
177,71205,1882,1.00000
177,78361,1912,1.00000
177,86233,1942,1.00000
177,94893,1972,1.00000
177,104419,2002,1.00000
177,114898,2032,1.00000
177,126425,2062,1.00000
