positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
1,6,6,0.00578
2,10,10,0.01156
3,15,15,0.01734
5,21,21,0.02890
8,28,28,0.04624
12,36,36,0.06936
19,45,45,0.10983
23,55,55,0.13295
29,66,66,0.16763
34,79,79,0.19653
45,94,94,0.26012
51,111,111,0.29480
64,130,130,0.36994
75,151,151,0.43353
85,175,175,0.49133
94,202,202,0.54335
103,232,232,0.59538
117,265,262,0.67630
125,302,292,0.72254
134,343,322,0.77457
143,389,352,0.82659
146,440,382,0.84393
151,497,412,0.87283
152,560,442,0.87861
158,630,472,0.91329
161,707,502,0.93064
164,792,532,0.94798
166,886,562,0.95954
168,990,592,0.97110
168,1105,622,0.97110
169,1232,652,0.97688
169,1372,682,0.97688
170,1526,712,0.98266
170,1696,742,0.98266
171,1883,772,0.98844
173,2089,802,1.00000
173,2316,832,1.00000
173,2566,862,1.00000
173,2841,892,1.00000
173,3144,922,1.00000
173,3478,952,1.00000
173,3846,982,1.00000
173,4251,1012,1.00000
173,4697,1042,1.00000
173,5188,1072,1.00000
173,5729,1102,1.00000
173,6325,1132,1.00000
173,6981,1162,1.00000
173,7703,1192,1.00000
173,8498,1222,1.00000
173,9373,1252,1.00000
173,10336,1282,1.00000
173,11396,1312,1.00000
173,12562,1342,1.00000
173,13845,1372,1.00000
173,15257,1402,1.00000
173,16811,1432,1.00000
173,18521,1462,1.00000
173,20402,1492,1.00000
173,22472,1522,1.00000
173,24749,1552,1.00000
173,27254,1582,1.00000
173,30010,1612,1.00000
173,33042,1642,1.00000
173,36378,1672,1.00000
173,40048,1702,1.00000
173,44085,1732,1.00000
173,48526,1762,1.00000
173,53412,1792,1.00000
173,58787,1822,1.00000
173,64700,1852,1.00000
173,71205,1882,1.00000
173,78361,1912,1.00000
173,86233,1942,1.00000
173,94893,1972,1.00000
173,104419,2002,1.00000
173,114898,2032,1.00000
173,126425,2062,1.00000
