all_docs,limited_docs,positives_mean,positives_stdev,recall_mean,recall_stdev
1,1,0.00000,0.00000,0.00000,0.00000
3,3,0.20000,0.42164,0.00111,0.00235
6,6,1.20000,0.78881,0.00673,0.00458
10,10,1.40000,0.96609,0.00783,0.00544
15,15,3.30000,1.41814,0.01842,0.00771
21,21,5.60000,1.71270,0.03115,0.00879
28,28,8.60000,2.41293,0.04782,0.01214
36,36,13.20000,3.64539,0.07349,0.01898
45,45,18.70000,4.13790,0.10418,0.02094
55,55,24.20000,4.39191,0.13494,0.02181
66,66,29.60000,4.64758,0.16500,0.02141
79,79,35.50000,4.92725,0.19817,0.02408
94,94,42.90000,4.99889,0.23961,0.02433
111,111,50.10000,5.27994,0.27968,0.02299
130,130,59.20000,4.56557,0.33094,0.02243
151,151,69.30000,4.57165,0.38743,0.02173
175,175,80.70000,3.26769,0.45162,0.02288
202,202,92.60000,3.92145,0.51787,0.01768
232,232,103.20000,3.29309,0.57724,0.01598
265,262,114.10000,3.17805,0.63829,0.01803
302,292,122.60000,3.50238,0.68588,0.02159
343,322,131.30000,4.47338,0.73446,0.02348
389,352,138.60000,5.08156,0.77530,0.02752
440,382,145.90000,3.84274,0.81617,0.02121
497,412,152.60000,5.81569,0.85322,0.01564
560,442,157.00000,6.14636,0.87774,0.01126
630,472,162.00000,6.42910,0.90568,0.01264
707,502,166.10000,5.66569,0.92878,0.01404
792,532,169.40000,6.00370,0.94718,0.01278
886,562,171.70000,7.05612,0.95988,0.01441
990,592,173.60000,8.15407,0.97024,0.01196
1105,622,174.50000,8.80972,0.97512,0.01182
1232,652,174.80000,8.67692,0.97682,0.01062
1372,682,175.50000,8.46233,0.98077,0.00879
1526,712,176.20000,8.37722,0.98470,0.00690
1696,742,176.80000,8.17585,0.98811,0.00703
1883,772,177.00000,8.01388,0.98926,0.00644
2089,802,177.90000,7.53437,0.99440,0.00463
2316,832,177.90000,7.53437,0.99440,0.00463
2566,862,178.40000,7.36659,0.99723,0.00390
2841,892,178.70000,7.24262,0.99893,0.00226
3144,922,178.80000,7.29992,0.99947,0.00166
3478,952,178.90000,7.46027,1.00000,0.00000
3846,982,178.90000,7.46027,1.00000,0.00000
4251,1012,178.90000,7.46027,1.00000,0.00000
4697,1042,178.90000,7.46027,1.00000,0.00000
5188,1072,178.90000,7.46027,1.00000,0.00000
5729,1102,178.90000,7.46027,1.00000,0.00000
6325,1132,178.90000,7.46027,1.00000,0.00000
6981,1162,178.90000,7.46027,1.00000,0.00000
7703,1192,178.90000,7.46027,1.00000,0.00000
8498,1222,178.90000,7.46027,1.00000,0.00000
9373,1252,178.90000,7.46027,1.00000,0.00000
10336,1282,178.90000,7.46027,1.00000,0.00000
11396,1312,178.90000,7.46027,1.00000,0.00000
12562,1342,178.90000,7.46027,1.00000,0.00000
13845,1372,178.90000,7.46027,1.00000,0.00000
15257,1402,178.90000,7.46027,1.00000,0.00000
16811,1432,178.90000,7.46027,1.00000,0.00000
18521,1462,178.90000,7.46027,1.00000,0.00000
20402,1492,178.90000,7.46027,1.00000,0.00000
22472,1522,178.90000,7.46027,1.00000,0.00000
24749,1552,178.90000,7.46027,1.00000,0.00000
27254,1582,178.90000,7.46027,1.00000,0.00000
30010,1612,178.90000,7.46027,1.00000,0.00000
33042,1642,178.90000,7.46027,1.00000,0.00000
36378,1672,178.90000,7.46027,1.00000,0.00000
40048,1702,178.90000,7.46027,1.00000,0.00000
44085,1732,178.90000,7.46027,1.00000,0.00000
48526,1762,178.90000,7.46027,1.00000,0.00000
53412,1792,178.90000,7.46027,1.00000,0.00000
58787,1822,178.90000,7.46027,1.00000,0.00000
64700,1852,178.90000,7.46027,1.00000,0.00000
71205,1882,178.90000,7.46027,1.00000,0.00000
78361,1912,178.90000,7.46027,1.00000,0.00000
86233,1942,178.90000,7.46027,1.00000,0.00000
94893,1972,178.90000,7.46027,1.00000,0.00000
104419,2002,178.90000,7.46027,1.00000,0.00000
114898,2032,178.90000,7.46027,1.00000,0.00000
126425,2062,178.90000,7.46027,1.00000,0.00000
