positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
0,15,15,0.00000
0,21,21,0.00000
0,28,28,0.00000
0,36,36,0.00000
0,45,45,0.00000
0,55,55,0.00000
0,66,66,0.00000
0,79,79,0.00000
0,94,94,0.00000
0,111,111,0.00000
0,130,130,0.00000
1,151,151,0.01000
1,175,175,0.01000
10,202,202,0.10000
18,232,232,0.18000
36,265,262,0.36000
53,302,292,0.53000
65,343,322,0.65000
74,389,352,0.74000
81,440,382,0.81000
86,497,412,0.86000
95,560,442,0.95000
95,630,472,0.95000
96,707,502,0.96000
97,792,532,0.97000
97,886,562,0.97000
98,990,592,0.98000
98,1105,622,0.98000
99,1232,652,0.99000
99,1372,682,0.99000
99,1526,712,0.99000
99,1696,742,0.99000
100,1883,772,1.00000
100,2089,802,1.00000
100,2316,832,1.00000
100,2566,862,1.00000
100,2841,892,1.00000
100,3144,922,1.00000
100,3478,952,1.00000
100,3846,982,1.00000
100,4251,1012,1.00000
100,4697,1042,1.00000
100,5188,1072,1.00000
100,5729,1102,1.00000
100,6325,1132,1.00000
100,6981,1162,1.00000
100,7703,1192,1.00000
100,8498,1222,1.00000
100,9373,1252,1.00000
100,10336,1282,1.00000
100,11396,1312,1.00000
100,12562,1342,1.00000
100,13845,1372,1.00000
100,15257,1402,1.00000
100,16811,1432,1.00000
100,18521,1462,1.00000
100,20402,1492,1.00000
100,22472,1522,1.00000
100,24749,1552,1.00000
100,27254,1582,1.00000
100,30010,1612,1.00000
100,33042,1642,1.00000
100,36378,1672,1.00000
100,40048,1702,1.00000
100,44085,1732,1.00000
100,48526,1762,1.00000
100,53412,1792,1.00000
100,58787,1822,1.00000
100,64700,1852,1.00000
100,71205,1882,1.00000
100,78361,1912,1.00000
100,86233,1942,1.00000
100,94893,1972,1.00000
100,104419,2002,1.00000
100,114898,2032,1.00000
100,126425,2062,1.00000
