all_docs,limited_docs,positives_mean,positives_stdev,recall_mean,recall_stdev
1,1,0.00000,0.00000,0.00000,0.00000
3,3,0.00000,0.00000,0.00000,0.00000
6,6,0.00000,0.00000,0.00000,0.00000
10,10,0.00000,0.00000,0.00000,0.00000
15,15,0.00000,0.00000,0.00000,0.00000
21,21,0.00000,0.00000,0.00000,0.00000
28,28,0.00000,0.00000,0.00000,0.00000
36,36,0.00000,0.00000,0.00000,0.00000
45,45,0.00000,0.00000,0.00000,0.00000
55,55,0.00000,0.00000,0.00000,0.00000
66,66,0.00000,0.00000,0.00000,0.00000
79,79,0.00000,0.00000,0.00000,0.00000
94,94,0.10000,0.31623,0.00094,0.00296
111,111,0.20000,0.42164,0.00191,0.00402
130,130,0.50000,1.26930,0.00471,0.01188
151,151,1.80000,3.01109,0.01755,0.02802
175,175,3.90000,7.01506,0.03792,0.06535
202,202,11.40000,12.04805,0.11547,0.11130
232,232,18.40000,16.14655,0.18635,0.15033
265,262,31.00000,18.11690,0.31864,0.16749
302,292,42.80000,21.83677,0.44065,0.20267
343,322,53.10000,23.99282,0.54936,0.22691
389,352,62.60000,24.69458,0.65038,0.23550
440,382,69.30000,26.07702,0.72134,0.25240
497,412,73.80000,26.96829,0.76926,0.26496
560,442,79.20000,28.43238,0.82704,0.27590
630,472,80.80000,28.74331,0.84432,0.28136
707,502,82.90000,28.40364,0.87033,0.26504
792,532,83.70000,28.65911,0.87868,0.26776
886,562,85.80000,25.16523,0.91702,0.18084
990,592,86.50000,23.67957,0.93109,0.14392
1105,622,88.10000,20.76562,0.96135,0.07104
1232,652,88.60000,20.50041,0.96809,0.06453
1372,682,89.10000,19.39330,0.97855,0.03504
1526,712,89.20000,19.09508,0.98093,0.02772
1696,742,89.80000,17.93073,0.99261,0.00514
1883,772,90.20000,18.06039,0.99682,0.00512
2089,802,90.20000,18.06039,0.99682,0.00512
2316,832,90.20000,18.06039,0.99682,0.00512
2566,862,90.30000,18.06808,0.99791,0.00442
2841,892,90.40000,18.09972,0.99895,0.00333
3144,922,90.40000,18.09972,0.99895,0.00333
3478,952,90.40000,18.09972,0.99895,0.00333
3846,982,90.40000,18.09972,0.99895,0.00333
4251,1012,90.40000,18.09972,0.99895,0.00333
4697,1042,90.40000,18.09972,0.99895,0.00333
5188,1072,90.40000,18.09972,0.99895,0.00333
5729,1102,90.40000,18.09972,0.99895,0.00333
6325,1132,90.40000,18.09972,0.99895,0.00333
6981,1162,90.40000,18.09972,0.99895,0.00333
7703,1192,90.50000,18.12457,1.00000,0.00000
8498,1222,90.50000,18.12457,1.00000,0.00000
9373,1252,90.50000,18.12457,1.00000,0.00000
10336,1282,90.50000,18.12457,1.00000,0.00000
11396,1312,90.50000,18.12457,1.00000,0.00000
12562,1342,90.50000,18.12457,1.00000,0.00000
13845,1372,90.50000,18.12457,1.00000,0.00000
15257,1402,90.50000,18.12457,1.00000,0.00000
16811,1432,90.50000,18.12457,1.00000,0.00000
18521,1462,90.50000,18.12457,1.00000,0.00000
20402,1492,90.50000,18.12457,1.00000,0.00000
22472,1522,90.50000,18.12457,1.00000,0.00000
24749,1552,90.50000,18.12457,1.00000,0.00000
27254,1582,90.50000,18.12457,1.00000,0.00000
30010,1612,90.50000,18.12457,1.00000,0.00000
33042,1642,90.50000,18.12457,1.00000,0.00000
36378,1672,90.50000,18.12457,1.00000,0.00000
40048,1702,90.50000,18.12457,1.00000,0.00000
44085,1732,90.50000,18.12457,1.00000,0.00000
48526,1762,90.50000,18.12457,1.00000,0.00000
53412,1792,90.50000,18.12457,1.00000,0.00000
58787,1822,90.50000,18.12457,1.00000,0.00000
64700,1852,90.50000,18.12457,1.00000,0.00000
71205,1882,90.50000,18.12457,1.00000,0.00000
78361,1912,90.50000,18.12457,1.00000,0.00000
86233,1942,90.50000,18.12457,1.00000,0.00000
94893,1972,90.50000,18.12457,1.00000,0.00000
104419,2002,90.50000,18.12457,1.00000,0.00000
114898,2032,90.50000,18.12457,1.00000,0.00000
126425,2062,90.50000,18.12457,1.00000,0.00000
