positives,all_docs,limited_docs,recall
0,1,1,0.00000
1,3,3,0.01124
2,6,6,0.02247
4,10,10,0.04494
7,15,15,0.07865
8,21,21,0.08989
8,28,28,0.08989
9,36,36,0.10112
10,45,45,0.11236
11,55,55,0.12360
13,66,66,0.14607
16,79,79,0.17978
20,94,94,0.22472
25,111,111,0.28090
32,130,130,0.35955
37,151,151,0.41573
45,175,175,0.50562
52,202,202,0.58427
60,232,232,0.67416
65,265,262,0.73034
69,302,292,0.77528
71,343,322,0.79775
72,389,352,0.80899
77,440,382,0.86517
79,497,412,0.88764
79,560,442,0.88764
81,630,472,0.91011
83,707,502,0.93258
84,792,532,0.94382
85,886,562,0.95506
85,990,592,0.95506
86,1105,622,0.96629
86,1232,652,0.96629
87,1372,682,0.97753
88,1526,712,0.98876
88,1696,742,0.98876
88,1883,772,0.98876
88,2089,802,0.98876
88,2316,832,0.98876
88,2566,862,0.98876
88,2841,892,0.98876
88,3144,922,0.98876
89,3478,952,1.00000
89,3846,982,1.00000
89,4251,1012,1.00000
89,4697,1042,1.00000
89,5188,1072,1.00000
89,5729,1102,1.00000
89,6325,1132,1.00000
89,6981,1162,1.00000
89,7703,1192,1.00000
89,8498,1222,1.00000
89,9373,1252,1.00000
89,10336,1282,1.00000
89,11396,1312,1.00000
89,12562,1342,1.00000
89,13845,1372,1.00000
89,15257,1402,1.00000
89,16811,1432,1.00000
89,18521,1462,1.00000
89,20402,1492,1.00000
89,22472,1522,1.00000
89,24749,1552,1.00000
89,27254,1582,1.00000
89,30010,1612,1.00000
89,33042,1642,1.00000
89,36378,1672,1.00000
89,40048,1702,1.00000
89,44085,1732,1.00000
89,48526,1762,1.00000
89,53412,1792,1.00000
89,58787,1822,1.00000
89,64700,1852,1.00000
89,71205,1882,1.00000
89,78361,1912,1.00000
89,86233,1942,1.00000
89,94893,1972,1.00000
89,104419,2002,1.00000
89,114898,2032,1.00000
89,126425,2062,1.00000
