positives,all_docs,limited_docs,recall
0,1,1,0.00000
1,3,3,0.01163
1,6,6,0.01163
4,10,10,0.04651
6,15,15,0.06977
7,21,21,0.08140
8,28,28,0.09302
9,36,36,0.10465
9,45,45,0.10465
12,55,55,0.13953
13,66,66,0.15116
13,79,79,0.15116
19,94,94,0.22093
22,111,111,0.25581
30,130,130,0.34884
36,151,151,0.41860
43,175,175,0.50000
51,202,202,0.59302
57,232,232,0.66279
63,265,262,0.73256
66,302,292,0.76744
68,343,322,0.79070
74,389,352,0.86047
78,440,382,0.90698
82,497,412,0.95349
84,560,442,0.97674
85,630,472,0.98837
85,707,502,0.98837
85,792,532,0.98837
85,886,562,0.98837
85,990,592,0.98837
85,1105,622,0.98837
85,1232,652,0.98837
85,1372,682,0.98837
85,1526,712,0.98837
86,1696,742,1.00000
86,1883,772,1.00000
86,2089,802,1.00000
86,2316,832,1.00000
86,2566,862,1.00000
86,2841,892,1.00000
86,3144,922,1.00000
86,3478,952,1.00000
86,3846,982,1.00000
86,4251,1012,1.00000
86,4697,1042,1.00000
86,5188,1072,1.00000
86,5729,1102,1.00000
86,6325,1132,1.00000
86,6981,1162,1.00000
86,7703,1192,1.00000
86,8498,1222,1.00000
86,9373,1252,1.00000
86,10336,1282,1.00000
86,11396,1312,1.00000
86,12562,1342,1.00000
86,13845,1372,1.00000
86,15257,1402,1.00000
86,16811,1432,1.00000
86,18521,1462,1.00000
86,20402,1492,1.00000
86,22472,1522,1.00000
86,24749,1552,1.00000
86,27254,1582,1.00000
86,30010,1612,1.00000
86,33042,1642,1.00000
86,36378,1672,1.00000
86,40048,1702,1.00000
86,44085,1732,1.00000
86,48526,1762,1.00000
86,53412,1792,1.00000
86,58787,1822,1.00000
86,64700,1852,1.00000
86,71205,1882,1.00000
86,78361,1912,1.00000
86,86233,1942,1.00000
86,94893,1972,1.00000
86,104419,2002,1.00000
86,114898,2032,1.00000
86,126425,2062,1.00000
