positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
0,15,15,0.00000
3,21,21,0.01389
3,28,28,0.01389
10,36,36,0.04630
17,45,45,0.07870
23,55,55,0.10648
32,66,66,0.14815
42,79,79,0.19444
52,94,94,0.24074
59,111,111,0.27315
70,130,130,0.32407
79,151,151,0.36574
88,175,175,0.40741
100,202,202,0.46296
108,232,232,0.50000
116,265,262,0.53704
127,302,292,0.58796
134,343,322,0.62037
143,389,352,0.66204
148,440,382,0.68519
159,497,412,0.73611
169,560,442,0.78241
176,630,472,0.81481
182,707,502,0.84259
186,792,532,0.86111
189,886,562,0.87500
193,990,592,0.89352
197,1105,622,0.91204
198,1232,652,0.91667
201,1372,682,0.93056
202,1526,712,0.93519
204,1696,742,0.94444
206,1883,772,0.95370
208,2089,802,0.96296
209,2316,832,0.96759
209,2566,862,0.96759
210,2841,892,0.97222
211,3144,922,0.97685
211,3478,952,0.97685
211,3846,982,0.97685
212,4251,1012,0.98148
212,4697,1042,0.98148
214,5188,1072,0.99074
215,5729,1102,0.99537
216,6325,1132,1.00000
216,6981,1162,1.00000
216,7703,1192,1.00000
216,8498,1222,1.00000
216,9373,1252,1.00000
216,10336,1282,1.00000
216,11396,1312,1.00000
216,12562,1342,1.00000
216,13845,1372,1.00000
216,15257,1402,1.00000
216,16811,1432,1.00000
216,18521,1462,1.00000
216,20402,1492,1.00000
216,22472,1522,1.00000
216,24749,1552,1.00000
216,27254,1582,1.00000
216,30010,1612,1.00000
216,33042,1642,1.00000
216,36378,1672,1.00000
216,40048,1702,1.00000
216,44085,1732,1.00000
216,48526,1762,1.00000
216,53412,1792,1.00000
216,58787,1822,1.00000
216,64700,1852,1.00000
216,71205,1882,1.00000
216,78361,1912,1.00000
216,86233,1942,1.00000
216,94893,1972,1.00000
216,104419,2002,1.00000
216,114898,2032,1.00000
216,126425,2062,1.00000
