positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
0,15,15,0.00000
0,21,21,0.00000
3,28,28,0.01523
3,36,36,0.01523
10,45,45,0.05076
14,55,55,0.07107
23,66,66,0.11675
27,79,79,0.13706
37,94,94,0.18782
50,111,111,0.25381
66,130,130,0.33503
73,151,151,0.37056
83,175,175,0.42132
94,202,202,0.47716
101,232,232,0.51269
107,265,262,0.54315
114,302,292,0.57868
120,343,322,0.60914
127,389,352,0.64467
133,440,382,0.67513
141,497,412,0.71574
145,560,442,0.73604
151,630,472,0.76650
160,707,502,0.81218
165,792,532,0.83756
167,886,562,0.84772
170,990,592,0.86294
177,1105,622,0.89848
180,1232,652,0.91371
182,1372,682,0.92386
186,1526,712,0.94416
187,1696,742,0.94924
188,1883,772,0.95431
188,2089,802,0.95431
191,2316,832,0.96954
195,2566,862,0.98985
195,2841,892,0.98985
195,3144,922,0.98985
195,3478,952,0.98985
195,3846,982,0.98985
195,4251,1012,0.98985
196,4697,1042,0.99492
196,5188,1072,0.99492
196,5729,1102,0.99492
197,6325,1132,1.00000
197,6981,1162,1.00000
197,7703,1192,1.00000
197,8498,1222,1.00000
197,9373,1252,1.00000
197,10336,1282,1.00000
197,11396,1312,1.00000
197,12562,1342,1.00000
197,13845,1372,1.00000
197,15257,1402,1.00000
197,16811,1432,1.00000
197,18521,1462,1.00000
197,20402,1492,1.00000
197,22472,1522,1.00000
197,24749,1552,1.00000
197,27254,1582,1.00000
197,30010,1612,1.00000
197,33042,1642,1.00000
197,36378,1672,1.00000
197,40048,1702,1.00000
197,44085,1732,1.00000
197,48526,1762,1.00000
197,53412,1792,1.00000
197,58787,1822,1.00000
197,64700,1852,1.00000
197,71205,1882,1.00000
197,78361,1912,1.00000
197,86233,1942,1.00000
197,94893,1972,1.00000
197,104419,2002,1.00000
197,114898,2032,1.00000
197,126425,2062,1.00000
