positives,all_docs,limited_docs,recall
1,1,1,0.01299
2,3,3,0.02597
4,6,6,0.05195
8,10,10,0.10390
12,15,15,0.15584
18,21,21,0.23377
25,28,28,0.32468
32,36,36,0.41558
39,45,45,0.50649
44,55,55,0.57143
52,66,66,0.67532
56,79,79,0.72727
61,94,94,0.79221
64,111,111,0.83117
69,130,130,0.89610
71,151,151,0.92208
71,175,175,0.92208
71,202,202,0.92208
73,232,232,0.94805
76,265,262,0.98701
76,302,292,0.98701
76,343,322,0.98701
76,389,352,0.98701
76,440,382,0.98701
76,497,412,0.98701
76,560,442,0.98701
76,630,472,0.98701
76,707,502,0.98701
76,792,532,0.98701
76,886,562,0.98701
76,990,592,0.98701
76,1105,622,0.98701
76,1232,652,0.98701
76,1372,682,0.98701
76,1526,712,0.98701
76,1696,742,0.98701
76,1883,772,0.98701
76,2089,802,0.98701
76,2316,832,0.98701
76,2566,862,0.98701
76,2841,892,0.98701
77,3144,922,1.00000
77,3478,952,1.00000
77,3846,982,1.00000
77,4251,1012,1.00000
77,4697,1042,1.00000
77,5188,1072,1.00000
77,5729,1102,1.00000
77,6325,1132,1.00000
77,6981,1162,1.00000
77,7703,1192,1.00000
77,8498,1222,1.00000
77,9373,1252,1.00000
77,10336,1282,1.00000
77,11396,1312,1.00000
77,12562,1342,1.00000
77,13845,1372,1.00000
77,15257,1402,1.00000
77,16811,1432,1.00000
77,18521,1462,1.00000
77,20402,1492,1.00000
77,22472,1522,1.00000
77,24749,1552,1.00000
77,27254,1582,1.00000
77,30010,1612,1.00000
77,33042,1642,1.00000
77,36378,1672,1.00000
77,40048,1702,1.00000
77,44085,1732,1.00000
77,48526,1762,1.00000
77,53412,1792,1.00000
77,58787,1822,1.00000
77,64700,1852,1.00000
77,71205,1882,1.00000
77,78361,1912,1.00000
77,86233,1942,1.00000
77,94893,1972,1.00000
77,104419,2002,1.00000
77,114898,2032,1.00000
77,126425,2062,1.00000
