all_docs,limited_docs,positives_mean,positives_stdev,recall_mean,recall_stdev
1,1,0.00000,0.00000,0.00000,0.00000
3,3,0.10000,0.31623,0.00323,0.01020
6,6,0.40000,0.96609,0.01290,0.03116
10,10,0.90000,1.52388,0.02903,0.04916
15,15,1.00000,1.56347,0.03226,0.05043
21,21,1.90000,2.18327,0.06162,0.07028
28,28,3.70000,3.12872,0.12013,0.10068
36,36,5.40000,3.77712,0.17619,0.12217
45,45,8.20000,4.28952,0.26883,0.14111
55,55,11.30000,4.05654,0.37026,0.13100
66,66,13.80000,3.52136,0.45245,0.11304
79,79,16.80000,3.01109,0.55133,0.09929
94,94,19.60000,2.91357,0.64287,0.09638
111,111,22.00000,3.12694,0.72139,0.10211
130,130,24.10000,2.42441,0.79068,0.08169
151,151,26.30000,1.33749,0.86276,0.04723
175,175,27.50000,0.70711,0.90201,0.02517
202,202,27.60000,0.69921,0.90524,0.02270
232,232,28.40000,0.69921,0.93137,0.01776
265,262,28.80000,0.91894,0.94449,0.02657
302,292,29.20000,1.03280,0.95739,0.02222
343,322,29.80000,1.03280,0.97697,0.01591
389,352,30.20000,1.03280,0.99010,0.01595
440,382,30.50000,0.84984,1.00000,0.00000
497,412,30.50000,0.84984,1.00000,0.00000
560,442,30.50000,0.84984,1.00000,0.00000
630,472,30.50000,0.84984,1.00000,0.00000
707,502,30.50000,0.84984,1.00000,0.00000
792,532,30.50000,0.84984,1.00000,0.00000
886,562,30.50000,0.84984,1.00000,0.00000
990,592,30.50000,0.84984,1.00000,0.00000
1105,622,30.50000,0.84984,1.00000,0.00000
1232,652,30.50000,0.84984,1.00000,0.00000
1372,682,30.50000,0.84984,1.00000,0.00000
1526,712,30.50000,0.84984,1.00000,0.00000
1696,742,30.50000,0.84984,1.00000,0.00000
1883,772,30.50000,0.84984,1.00000,0.00000
2089,802,30.50000,0.84984,1.00000,0.00000
2316,832,30.50000,0.84984,1.00000,0.00000
2566,862,30.50000,0.84984,1.00000,0.00000
2841,892,30.50000,0.84984,1.00000,0.00000
3144,922,30.50000,0.84984,1.00000,0.00000
3478,952,30.50000,0.84984,1.00000,0.00000
3846,982,30.50000,0.84984,1.00000,0.00000
4251,1012,30.50000,0.84984,1.00000,0.00000
4697,1042,30.50000,0.84984,1.00000,0.00000
5188,1072,30.50000,0.84984,1.00000,0.00000
5729,1102,30.50000,0.84984,1.00000,0.00000
6325,1132,30.50000,0.84984,1.00000,0.00000
6981,1162,30.50000,0.84984,1.00000,0.00000
7703,1192,30.50000,0.84984,1.00000,0.00000
8498,1222,30.50000,0.84984,1.00000,0.00000
9373,1252,30.50000,0.84984,1.00000,0.00000
10336,1282,30.50000,0.84984,1.00000,0.00000
11396,1312,30.50000,0.84984,1.00000,0.00000
12562,1342,30.50000,0.84984,1.00000,0.00000
13845,1372,30.50000,0.84984,1.00000,0.00000
15257,1402,30.50000,0.84984,1.00000,0.00000
16811,1432,30.50000,0.84984,1.00000,0.00000
18521,1462,30.50000,0.84984,1.00000,0.00000
20402,1492,30.50000,0.84984,1.00000,0.00000
22472,1522,30.50000,0.84984,1.00000,0.00000
24749,1552,30.50000,0.84984,1.00000,0.00000
27254,1582,30.50000,0.84984,1.00000,0.00000
30010,1612,30.50000,0.84984,1.00000,0.00000
33042,1642,30.50000,0.84984,1.00000,0.00000
36378,1672,30.50000,0.84984,1.00000,0.00000
40048,1702,30.50000,0.84984,1.00000,0.00000
44085,1732,30.50000,0.84984,1.00000,0.00000
48526,1762,30.50000,0.84984,1.00000,0.00000
53412,1792,30.50000,0.84984,1.00000,0.00000
58787,1822,30.50000,0.84984,1.00000,0.00000
64700,1852,30.50000,0.84984,1.00000,0.00000
71205,1882,30.50000,0.84984,1.00000,0.00000
78361,1912,30.50000,0.84984,1.00000,0.00000
86233,1942,30.50000,0.84984,1.00000,0.00000
94893,1972,30.50000,0.84984,1.00000,0.00000
104419,2002,30.50000,0.84984,1.00000,0.00000
114898,2032,30.50000,0.84984,1.00000,0.00000
126425,2062,30.50000,0.84984,1.00000,0.00000
