positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
0,15,15,0.00000
0,21,21,0.00000
0,28,28,0.00000
0,36,36,0.00000
2,45,45,0.00930
4,55,55,0.01860
11,66,66,0.05116
20,79,79,0.09302
30,94,94,0.13953
41,111,111,0.19070
48,130,130,0.22326
55,151,151,0.25581
67,175,175,0.31163
85,202,202,0.39535
94,232,232,0.43721
105,265,262,0.48837
119,302,292,0.55349
128,343,322,0.59535
138,389,352,0.64186
147,440,382,0.68372
157,497,412,0.73023
163,560,442,0.75814
170,630,472,0.79070
176,707,502,0.81860
183,792,532,0.85116
187,886,562,0.86977
191,990,592,0.88837
195,1105,622,0.90698
197,1232,652,0.91628
200,1372,682,0.93023
200,1526,712,0.93023
203,1696,742,0.94419
204,1883,772,0.94884
206,2089,802,0.95814
208,2316,832,0.96744
208,2566,862,0.96744
210,2841,892,0.97674
213,3144,922,0.99070
214,3478,952,0.99535
214,3846,982,0.99535
214,4251,1012,0.99535
214,4697,1042,0.99535
214,5188,1072,0.99535
214,5729,1102,0.99535
214,6325,1132,0.99535
214,6981,1162,0.99535
215,7703,1192,1.00000
215,8498,1222,1.00000
215,9373,1252,1.00000
215,10336,1282,1.00000
215,11396,1312,1.00000
215,12562,1342,1.00000
215,13845,1372,1.00000
215,15257,1402,1.00000
215,16811,1432,1.00000
215,18521,1462,1.00000
215,20402,1492,1.00000
215,22472,1522,1.00000
215,24749,1552,1.00000
215,27254,1582,1.00000
215,30010,1612,1.00000
215,33042,1642,1.00000
215,36378,1672,1.00000
215,40048,1702,1.00000
215,44085,1732,1.00000
215,48526,1762,1.00000
215,53412,1792,1.00000
215,58787,1822,1.00000
215,64700,1852,1.00000
215,71205,1882,1.00000
215,78361,1912,1.00000
215,86233,1942,1.00000
215,94893,1972,1.00000
215,104419,2002,1.00000
215,114898,2032,1.00000
215,126425,2062,1.00000
