all_docs,limited_docs,positives_mean,positives_stdev,recall_mean,recall_stdev
1,1,0.00000,0.00000,0.00000,0.00000
3,3,0.10000,0.31623,0.00055,0.00173
6,6,0.10000,0.31623,0.00055,0.00173
10,10,0.20000,0.42164,0.00108,0.00227
15,15,0.60000,0.69921,0.00320,0.00373
21,21,0.90000,0.99443,0.00480,0.00520
28,28,1.50000,1.17851,0.00810,0.00647
36,36,2.10000,1.59513,0.01149,0.00898
45,45,2.70000,1.49443,0.01462,0.00852
55,55,3.60000,2.01108,0.01937,0.01128
66,66,4.80000,3.19026,0.02523,0.01572
79,79,6.80000,5.11642,0.03530,0.02309
94,94,9.30000,8.43340,0.04765,0.03802
111,111,11.90000,12.25153,0.06051,0.05577
130,130,14.70000,15.90982,0.07441,0.07318
151,151,17.80000,19.41248,0.09023,0.08962
175,175,23.20000,23.29902,0.11832,0.10718
202,202,31.90000,29.48615,0.16345,0.13628
232,232,42.90000,32.04667,0.22211,0.14755
265,262,55.90000,32.37094,0.29240,0.14629
302,292,70.60000,32.56174,0.37197,0.14283
343,322,83.20000,30.68767,0.44080,0.12958
389,352,94.70000,28.38642,0.50409,0.11357
440,382,107.10000,25.69241,0.57215,0.09348
497,412,118.90000,24.49240,0.63654,0.08239
560,442,128.80000,22.55758,0.69118,0.07243
630,472,137.40000,20.48956,0.73849,0.05942
707,502,144.30000,19.35660,0.77616,0.05049
792,532,150.80000,18.37148,0.81156,0.04118
886,562,156.30000,17.48682,0.84169,0.03597
990,592,161.10000,17.84781,0.86760,0.03685
1105,622,165.30000,17.26943,0.89067,0.03636
1232,652,168.20000,17.17750,0.90634,0.03299
1372,682,171.10000,16.60957,0.92224,0.02898
1526,712,172.70000,16.85263,0.93090,0.03317
1696,742,174.30000,16.89214,0.93960,0.03430
1883,772,175.60000,17.20594,0.94663,0.03824
2089,802,177.00000,16.94435,0.95422,0.03356
2316,832,178.10000,17.14934,0.96004,0.03094
2566,862,179.50000,16.37919,0.96789,0.02776
2841,892,180.60000,16.43303,0.97377,0.02416
3144,922,182.00000,16.49916,0.98127,0.01947
3478,952,183.20000,15.99861,0.98791,0.01237
3846,982,183.90000,15.69466,0.99180,0.00838
4251,1012,184.50000,15.29161,0.99520,0.00625
4697,1042,184.60000,15.20380,0.99577,0.00642
5188,1072,184.60000,15.20380,0.99577,0.00642
5729,1102,184.70000,15.23191,0.99630,0.00497
6325,1132,184.90000,15.30759,0.99734,0.00282
6981,1162,185.00000,15.35506,0.99786,0.00278
7703,1192,185.10000,15.56670,0.99832,0.00270
8498,1222,185.20000,15.55492,0.99887,0.00239
9373,1252,185.20000,15.55492,0.99887,0.00239
10336,1282,185.30000,15.44201,0.99945,0.00173
11396,1312,185.30000,15.44201,0.99945,0.00173
12562,1342,185.30000,15.44201,0.99945,0.00173
13845,1372,185.40000,15.42149,1.00000,0.00000
15257,1402,185.40000,15.42149,1.00000,0.00000
16811,1432,185.40000,15.42149,1.00000,0.00000
18521,1462,185.40000,15.42149,1.00000,0.00000
20402,1492,185.40000,15.42149,1.00000,0.00000
22472,1522,185.40000,15.42149,1.00000,0.00000
24749,1552,185.40000,15.42149,1.00000,0.00000
27254,1582,185.40000,15.42149,1.00000,0.00000
30010,1612,185.40000,15.42149,1.00000,0.00000
33042,1642,185.40000,15.42149,1.00000,0.00000
36378,1672,185.40000,15.42149,1.00000,0.00000
40048,1702,185.40000,15.42149,1.00000,0.00000
44085,1732,185.40000,15.42149,1.00000,0.00000
48526,1762,185.40000,15.42149,1.00000,0.00000
53412,1792,185.40000,15.42149,1.00000,0.00000
58787,1822,185.40000,15.42149,1.00000,0.00000
64700,1852,185.40000,15.42149,1.00000,0.00000
71205,1882,185.40000,15.42149,1.00000,0.00000
78361,1912,185.40000,15.42149,1.00000,0.00000
86233,1942,185.40000,15.42149,1.00000,0.00000
94893,1972,185.40000,15.42149,1.00000,0.00000
104419,2002,185.40000,15.42149,1.00000,0.00000
114898,2032,185.40000,15.42149,1.00000,0.00000
126425,2062,185.40000,15.42149,1.00000,0.00000
