positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
1,15,15,0.00488
2,21,21,0.00976
2,28,28,0.00976
2,36,36,0.00976
3,45,45,0.01463
3,55,55,0.01463
5,66,66,0.02439
8,79,79,0.03902
18,94,94,0.08780
27,111,111,0.13171
41,130,130,0.20000
54,151,151,0.26341
67,175,175,0.32683
86,202,202,0.41951
103,232,232,0.50244
115,265,262,0.56098
129,302,292,0.62927
137,343,322,0.66829
143,389,352,0.69756
154,440,382,0.75122
164,497,412,0.80000
170,560,442,0.82927
174,630,472,0.84878
178,707,502,0.86829
179,792,532,0.87317
182,886,562,0.88780
188,990,592,0.91707
190,1105,622,0.92683
193,1232,652,0.94146
194,1372,682,0.94634
196,1526,712,0.95610
196,1696,742,0.95610
198,1883,772,0.96585
199,2089,802,0.97073
201,2316,832,0.98049
201,2566,862,0.98049
202,2841,892,0.98537
203,3144,922,0.99024
204,3478,952,0.99512
205,3846,982,1.00000
205,4251,1012,1.00000
205,4697,1042,1.00000
205,5188,1072,1.00000
205,5729,1102,1.00000
205,6325,1132,1.00000
205,6981,1162,1.00000
205,7703,1192,1.00000
205,8498,1222,1.00000
205,9373,1252,1.00000
205,10336,1282,1.00000
205,11396,1312,1.00000
205,12562,1342,1.00000
205,13845,1372,1.00000
205,15257,1402,1.00000
205,16811,1432,1.00000
205,18521,1462,1.00000
205,20402,1492,1.00000
205,22472,1522,1.00000
205,24749,1552,1.00000
205,27254,1582,1.00000
205,30010,1612,1.00000
205,33042,1642,1.00000
205,36378,1672,1.00000
205,40048,1702,1.00000
205,44085,1732,1.00000
205,48526,1762,1.00000
205,53412,1792,1.00000
205,58787,1822,1.00000
205,64700,1852,1.00000
205,71205,1882,1.00000
205,78361,1912,1.00000
205,86233,1942,1.00000
205,94893,1972,1.00000
205,104419,2002,1.00000
205,114898,2032,1.00000
205,126425,2062,1.00000
