positives,all_docs,limited_docs,recall
0,1,1,0.00000
1,3,3,0.00546
1,6,6,0.00546
1,10,10,0.00546
1,15,15,0.00546
1,21,21,0.00546
1,28,28,0.00546
1,36,36,0.00546
1,45,45,0.00546
2,55,55,0.01093
2,66,66,0.01093
4,79,79,0.02186
5,94,94,0.02732
6,111,111,0.03279
8,130,130,0.04372
8,151,151,0.04372
9,175,175,0.04918
11,202,202,0.06011
17,232,232,0.09290
31,265,262,0.16940
46,302,292,0.25137
65,343,322,0.35519
75,389,352,0.40984
93,440,382,0.50820
109,497,412,0.59563
115,560,442,0.62842
126,630,472,0.68852
135,707,502,0.73770
146,792,532,0.79781
155,886,562,0.84699
159,990,592,0.86885
165,1105,622,0.90164
168,1232,652,0.91803
171,1372,682,0.93443
175,1526,712,0.95628
177,1696,742,0.96721
178,1883,772,0.97268
179,2089,802,0.97814
179,2316,832,0.97814
179,2566,862,0.97814
180,2841,892,0.98361
180,3144,922,0.98361
180,3478,952,0.98361
181,3846,982,0.98907
182,4251,1012,0.99454
182,4697,1042,0.99454
182,5188,1072,0.99454
182,5729,1102,0.99454
182,6325,1132,0.99454
182,6981,1162,0.99454
182,7703,1192,0.99454
182,8498,1222,0.99454
182,9373,1252,0.99454
182,10336,1282,0.99454
182,11396,1312,0.99454
182,12562,1342,0.99454
183,13845,1372,1.00000
183,15257,1402,1.00000
183,16811,1432,1.00000
183,18521,1462,1.00000
183,20402,1492,1.00000
183,22472,1522,1.00000
183,24749,1552,1.00000
183,27254,1582,1.00000
183,30010,1612,1.00000
183,33042,1642,1.00000
183,36378,1672,1.00000
183,40048,1702,1.00000
183,44085,1732,1.00000
183,48526,1762,1.00000
183,53412,1792,1.00000
183,58787,1822,1.00000
183,64700,1852,1.00000
183,71205,1882,1.00000
183,78361,1912,1.00000
183,86233,1942,1.00000
183,94893,1972,1.00000
183,104419,2002,1.00000
183,114898,2032,1.00000
183,126425,2062,1.00000
