positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
1,15,15,0.00562
1,21,21,0.00562
2,28,28,0.01124
3,36,36,0.01685
5,45,45,0.02809
7,55,55,0.03933
8,66,66,0.04494
8,79,79,0.04494
8,94,94,0.04494
9,111,111,0.05056
9,130,130,0.05056
9,151,151,0.05056
13,175,175,0.07303
20,202,202,0.11236
30,232,232,0.16854
42,265,262,0.23596
56,302,292,0.31461
69,343,322,0.38764
83,389,352,0.46629
98,440,382,0.55056
105,497,412,0.58989
114,560,442,0.64045
124,630,472,0.69663
129,707,502,0.72472
136,792,532,0.76404
142,886,562,0.79775
145,990,592,0.81461
153,1105,622,0.85955
157,1232,652,0.88202
161,1372,682,0.90449
162,1526,712,0.91011
166,1696,742,0.93258
166,1883,772,0.93258
168,2089,802,0.94382
169,2316,832,0.94944
171,2566,862,0.96067
173,2841,892,0.97191
175,3144,922,0.98315
178,3478,952,1.00000
178,3846,982,1.00000
178,4251,1012,1.00000
178,4697,1042,1.00000
178,5188,1072,1.00000
178,5729,1102,1.00000
178,6325,1132,1.00000
178,6981,1162,1.00000
178,7703,1192,1.00000
178,8498,1222,1.00000
178,9373,1252,1.00000
178,10336,1282,1.00000
178,11396,1312,1.00000
178,12562,1342,1.00000
178,13845,1372,1.00000
178,15257,1402,1.00000
178,16811,1432,1.00000
178,18521,1462,1.00000
178,20402,1492,1.00000
178,22472,1522,1.00000
178,24749,1552,1.00000
178,27254,1582,1.00000
178,30010,1612,1.00000
178,33042,1642,1.00000
178,36378,1672,1.00000
178,40048,1702,1.00000
178,44085,1732,1.00000
178,48526,1762,1.00000
178,53412,1792,1.00000
178,58787,1822,1.00000
178,64700,1852,1.00000
178,71205,1882,1.00000
178,78361,1912,1.00000
178,86233,1942,1.00000
178,94893,1972,1.00000
178,104419,2002,1.00000
178,114898,2032,1.00000
178,126425,2062,1.00000
