positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
0,15,15,0.00000
0,21,21,0.00000
2,28,28,0.01042
3,36,36,0.01562
3,45,45,0.01562
5,55,55,0.02604
5,66,66,0.02604
6,79,79,0.03125
6,94,94,0.03125
7,111,111,0.03646
9,130,130,0.04688
10,151,151,0.05208
13,175,175,0.06771
18,202,202,0.09375
34,232,232,0.17708
50,265,262,0.26042
67,302,292,0.34896
77,343,322,0.40104
91,389,352,0.47396
102,440,382,0.53125
113,497,412,0.58854
125,560,442,0.65104
132,630,472,0.68750
144,707,502,0.75000
156,792,532,0.81250
162,886,562,0.84375
167,990,592,0.86979
170,1105,622,0.88542
175,1232,652,0.91146
175,1372,682,0.91146
177,1526,712,0.92188
178,1696,742,0.92708
180,1883,772,0.93750
181,2089,802,0.94271
182,2316,832,0.94792
183,2566,862,0.95312
185,2841,892,0.96354
187,3144,922,0.97396
188,3478,952,0.97917
188,3846,982,0.97917
188,4251,1012,0.97917
188,4697,1042,0.97917
188,5188,1072,0.97917
189,5729,1102,0.98438
191,6325,1132,0.99479
192,6981,1162,1.00000
192,7703,1192,1.00000
192,8498,1222,1.00000
192,9373,1252,1.00000
192,10336,1282,1.00000
192,11396,1312,1.00000
192,12562,1342,1.00000
192,13845,1372,1.00000
192,15257,1402,1.00000
192,16811,1432,1.00000
192,18521,1462,1.00000
192,20402,1492,1.00000
192,22472,1522,1.00000
192,24749,1552,1.00000
192,27254,1582,1.00000
192,30010,1612,1.00000
192,33042,1642,1.00000
192,36378,1672,1.00000
192,40048,1702,1.00000
192,44085,1732,1.00000
192,48526,1762,1.00000
192,53412,1792,1.00000
192,58787,1822,1.00000
192,64700,1852,1.00000
192,71205,1882,1.00000
192,78361,1912,1.00000
192,86233,1942,1.00000
192,94893,1972,1.00000
192,104419,2002,1.00000
192,114898,2032,1.00000
192,126425,2062,1.00000
