positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
0,15,15,0.00000
0,21,21,0.00000
0,28,28,0.00000
0,36,36,0.00000
1,45,45,0.00588
1,55,55,0.00588
1,66,66,0.00588
2,79,79,0.01176
2,94,94,0.01176
2,111,111,0.01176
3,130,130,0.01765
8,151,151,0.04706
11,175,175,0.06471
15,202,202,0.08824
22,232,232,0.12941
40,265,262,0.23529
57,302,292,0.33529
72,343,322,0.42353
85,389,352,0.50000
97,440,382,0.57059
104,497,412,0.61176
115,560,442,0.67647
125,630,472,0.73529
131,707,502,0.77059
136,792,532,0.80000
141,886,562,0.82941
149,990,592,0.87647
152,1105,622,0.89412
153,1232,652,0.90000
157,1372,682,0.92353
158,1526,712,0.92941
160,1696,742,0.94118
160,1883,772,0.94118
160,2089,802,0.94118
161,2316,832,0.94706
163,2566,862,0.95882
164,2841,892,0.96471
166,3144,922,0.97647
167,3478,952,0.98235
168,3846,982,0.98824
169,4251,1012,0.99412
169,4697,1042,0.99412
169,5188,1072,0.99412
169,5729,1102,0.99412
169,6325,1132,0.99412
169,6981,1162,0.99412
169,7703,1192,0.99412
169,8498,1222,0.99412
169,9373,1252,0.99412
170,10336,1282,1.00000
170,11396,1312,1.00000
170,12562,1342,1.00000
170,13845,1372,1.00000
170,15257,1402,1.00000
170,16811,1432,1.00000
170,18521,1462,1.00000
170,20402,1492,1.00000
170,22472,1522,1.00000
170,24749,1552,1.00000
170,27254,1582,1.00000
170,30010,1612,1.00000
170,33042,1642,1.00000
170,36378,1672,1.00000
170,40048,1702,1.00000
170,44085,1732,1.00000
170,48526,1762,1.00000
170,53412,1792,1.00000
170,58787,1822,1.00000
170,64700,1852,1.00000
170,71205,1882,1.00000
170,78361,1912,1.00000
170,86233,1942,1.00000
170,94893,1972,1.00000
170,104419,2002,1.00000
170,114898,2032,1.00000
170,126425,2062,1.00000
