positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
2,6,6,0.02105
4,10,10,0.04211
4,15,15,0.04211
8,21,21,0.08421
10,28,28,0.10526
16,36,36,0.16842
21,45,45,0.22105
27,55,55,0.28421
35,66,66,0.36842
39,79,79,0.41053
47,94,94,0.49474
57,111,111,0.60000
63,130,130,0.66316
67,151,151,0.70526
70,175,175,0.73684
75,202,202,0.78947
78,232,232,0.82105
81,265,262,0.85263
85,302,292,0.89474
85,343,322,0.89474
88,389,352,0.92632
89,440,382,0.93684
89,497,412,0.93684
91,560,442,0.95789
91,630,472,0.95789
93,707,502,0.97895
94,792,532,0.98947
95,886,562,1.00000
95,990,592,1.00000
95,1105,622,1.00000
95,1232,652,1.00000
95,1372,682,1.00000
95,1526,712,1.00000
95,1696,742,1.00000
95,1883,772,1.00000
95,2089,802,1.00000
95,2316,832,1.00000
95,2566,862,1.00000
95,2841,892,1.00000
95,3144,922,1.00000
95,3478,952,1.00000
95,3846,982,1.00000
95,4251,1012,1.00000
95,4697,1042,1.00000
95,5188,1072,1.00000
95,5729,1102,1.00000
95,6325,1132,1.00000
95,6981,1162,1.00000
95,7703,1192,1.00000
95,8498,1222,1.00000
95,9373,1252,1.00000
95,10336,1282,1.00000
95,11396,1312,1.00000
95,12562,1342,1.00000
95,13845,1372,1.00000
95,15257,1402,1.00000
95,16811,1432,1.00000
95,18521,1462,1.00000
95,20402,1492,1.00000
95,22472,1522,1.00000
95,24749,1552,1.00000
95,27254,1582,1.00000
95,30010,1612,1.00000
95,33042,1642,1.00000
95,36378,1672,1.00000
95,40048,1702,1.00000
95,44085,1732,1.00000
95,48526,1762,1.00000
95,53412,1792,1.00000
95,58787,1822,1.00000
95,64700,1852,1.00000
95,71205,1882,1.00000
95,78361,1912,1.00000
95,86233,1942,1.00000
95,94893,1972,1.00000
95,104419,2002,1.00000
95,114898,2032,1.00000
95,126425,2062,1.00000
