positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
2,15,15,0.00738
4,21,21,0.01476
5,28,28,0.01845
9,36,36,0.03321
14,45,45,0.05166
20,55,55,0.07380
25,66,66,0.09225
30,79,79,0.11070
38,94,94,0.14022
49,111,111,0.18081
55,130,130,0.20295
67,151,151,0.24723
81,175,175,0.29889
95,202,202,0.35055
108,232,232,0.39852
127,265,262,0.46863
137,302,292,0.50554
150,343,322,0.55351
162,389,352,0.59779
175,440,382,0.64576
188,497,412,0.69373
197,560,442,0.72694
199,630,472,0.73432
209,707,502,0.77122
215,792,532,0.79336
223,886,562,0.82288
229,990,592,0.84502
231,1105,622,0.85240
238,1232,652,0.87823
240,1372,682,0.88561
243,1526,712,0.89668
246,1696,742,0.90775
247,1883,772,0.91144
249,2089,802,0.91882
255,2316,832,0.94096
257,2566,862,0.94834
261,2841,892,0.96310
265,3144,922,0.97786
266,3478,952,0.98155
268,3846,982,0.98893
268,4251,1012,0.98893
268,4697,1042,0.98893
268,5188,1072,0.98893
268,5729,1102,0.98893
268,6325,1132,0.98893
268,6981,1162,0.98893
269,7703,1192,0.99262
269,8498,1222,0.99262
269,9373,1252,0.99262
269,10336,1282,0.99262
269,11396,1312,0.99262
270,12562,1342,0.99631
271,13845,1372,1.00000
271,15257,1402,1.00000
271,16811,1432,1.00000
271,18521,1462,1.00000
271,20402,1492,1.00000
271,22472,1522,1.00000
271,24749,1552,1.00000
271,27254,1582,1.00000
271,30010,1612,1.00000
271,33042,1642,1.00000
271,36378,1672,1.00000
271,40048,1702,1.00000
271,44085,1732,1.00000
271,48526,1762,1.00000
271,53412,1792,1.00000
271,58787,1822,1.00000
271,64700,1852,1.00000
271,71205,1882,1.00000
271,78361,1912,1.00000
271,86233,1942,1.00000
271,94893,1972,1.00000
271,104419,2002,1.00000
271,114898,2032,1.00000
271,126425,2062,1.00000
