positives,all_docs,limited_docs,recall
0,1,1,0.00000
0,3,3,0.00000
0,6,6,0.00000
0,10,10,0.00000
1,15,15,0.00398
4,21,21,0.01594
4,28,28,0.01594
6,36,36,0.02390
8,45,45,0.03187
10,55,55,0.03984
15,66,66,0.05976
21,79,79,0.08367
33,94,94,0.13147
40,111,111,0.15936
49,130,130,0.19522
59,151,151,0.23506
69,175,175,0.27490
79,202,202,0.31474
95,232,232,0.37849
111,265,262,0.44223
121,302,292,0.48207
138,343,322,0.54980
148,389,352,0.58964
160,440,382,0.63745
165,497,412,0.65737
174,560,442,0.69323
182,630,472,0.72510
193,707,502,0.76892
196,792,532,0.78088
202,886,562,0.80478
208,990,592,0.82869
212,1105,622,0.84462
217,1232,652,0.86454
225,1372,682,0.89641
230,1526,712,0.91633
233,1696,742,0.92829
234,1883,772,0.93227
237,2089,802,0.94422
238,2316,832,0.94821
241,2566,862,0.96016
243,2841,892,0.96813
246,3144,922,0.98008
247,3478,952,0.98406
248,3846,982,0.98805
249,4251,1012,0.99203
250,4697,1042,0.99602
250,5188,1072,0.99602
250,5729,1102,0.99602
250,6325,1132,0.99602
250,6981,1162,0.99602
250,7703,1192,0.99602
251,8498,1222,1.00000
251,9373,1252,1.00000
251,10336,1282,1.00000
251,11396,1312,1.00000
251,12562,1342,1.00000
251,13845,1372,1.00000
251,15257,1402,1.00000
251,16811,1432,1.00000
251,18521,1462,1.00000
251,20402,1492,1.00000
251,22472,1522,1.00000
251,24749,1552,1.00000
251,27254,1582,1.00000
251,30010,1612,1.00000
251,33042,1642,1.00000
251,36378,1672,1.00000
251,40048,1702,1.00000
251,44085,1732,1.00000
251,48526,1762,1.00000
251,53412,1792,1.00000
251,58787,1822,1.00000
251,64700,1852,1.00000
251,71205,1882,1.00000
251,78361,1912,1.00000
251,86233,1942,1.00000
251,94893,1972,1.00000
251,104419,2002,1.00000
251,114898,2032,1.00000
251,126425,2062,1.00000
