positives,all_docs,limited_docs,recall
0,1,1,0.00000
1,3,3,0.02941
1,6,6,0.02941
2,10,10,0.05882
2,15,15,0.05882
3,21,21,0.08824
3,28,28,0.08824
3,36,36,0.08824
3,45,45,0.08824
5,55,55,0.14706
7,66,66,0.20588
7,79,79,0.20588
12,94,94,0.35294
15,111,111,0.44118
16,130,130,0.47059
16,151,151,0.47059
20,175,175,0.58824
24,202,202,0.70588
31,232,232,0.91176
32,265,262,0.94118
32,302,292,0.94118
33,343,322,0.97059
33,389,352,0.97059
34,440,382,1.00000
34,497,412,1.00000
34,560,442,1.00000
34,630,472,1.00000
34,707,502,1.00000
34,792,532,1.00000
34,886,562,1.00000
34,990,592,1.00000
34,1105,622,1.00000
34,1232,652,1.00000
34,1372,682,1.00000
34,1526,712,1.00000
34,1696,742,1.00000
34,1883,772,1.00000
34,2089,802,1.00000
34,2316,832,1.00000
34,2566,862,1.00000
34,2841,892,1.00000
34,3144,922,1.00000
34,3478,952,1.00000
34,3846,982,1.00000
34,4251,1012,1.00000
34,4697,1042,1.00000
34,5188,1072,1.00000
34,5729,1102,1.00000
34,6325,1132,1.00000
34,6981,1162,1.00000
34,7703,1192,1.00000
34,8498,1222,1.00000
34,9373,1252,1.00000
34,10336,1282,1.00000
34,11396,1312,1.00000
34,12562,1342,1.00000
34,13845,1372,1.00000
34,15257,1402,1.00000
34,16811,1432,1.00000
34,18521,1462,1.00000
34,20402,1492,1.00000
34,22472,1522,1.00000
34,24749,1552,1.00000
34,27254,1582,1.00000
34,30010,1612,1.00000
34,33042,1642,1.00000
34,36378,1672,1.00000
34,40048,1702,1.00000
34,44085,1732,1.00000
34,48526,1762,1.00000
34,53412,1792,1.00000
34,58787,1822,1.00000
34,64700,1852,1.00000
34,71205,1882,1.00000
34,78361,1912,1.00000
34,86233,1942,1.00000
34,94893,1972,1.00000
34,104419,2002,1.00000
34,114898,2032,1.00000
34,126425,2062,1.00000
